Animal #,C,Sex,Gen.,D.O.B.,Day,Sire,Dam,Nurse,Strain,Dead,Nec.,Mated,To,Toe-Clip,Weaned,Strain
30668,B,F,F18,11/7/2000,Tu,29013,29076,29076,C3,,,2/12/2001,30761,,,C2
30671,B,F,F18,11/7/2000,Tu,29013,29076,29076,C3,,,2/12/2001,30983,,,C23
30672,W,F,F18,11/7/2000,Tu,29229,29043,29076,C21,,,2/12/2001,31076,,,C32
30674,W,F,F18,11/7/2000,Tu,29229,29043,29076,C21,,,2/12/2001,30877,,,C14
30679,B,F,F18,11/7/2000,Tu,29598,29313,29016,C38,,,2/12/2001,31410,,,C70
30690,B,M,F18,11/7/2000,Tu,29229,29043,29043,C21,,,2/12/2001,30756,,,C1
30692,B,M,F18,11/7/2000,Tu,29013,29076,29043,C3,,,2/12/2001,30798,,,C3
30699,W,F,F18,11/7/2000,Tu,29030,29316,29316,C26,,,2/12/2001,30904,,,C16
30708,B,M,F18,11/7/2000,Tu,29598,29313,29313,C38,,,2/12/2001,31169,,,C38
30709,B,M,F18,11/7/2000,Tu,29093,29016,29313,C5,,,2/12/2001,30857,,,C9
30710,B,F,F18,11/7/2000,Tu,29093,29016,29313,C5,,,2/12/2001,30806,,,C8
30713,B,M,F18,11/7/2000,Tu,29640,29212,29212,C41,,,2/12/2001,30907,,,C10
30714,B,M,F18,11/7/2000,Tu,29640,29212,29212,C41,,,2/12/2001,30888,,,C11
30717,B,M,F18,11/7/2000,Tu,29049,29216,29212,C13,,,2/12/2001,30778,,,C5
30719,T,F,F18,11/7/2000,Tu,29743,29190,29190,C55,,,2/12/2001,30787,,,C6
30724,B,M,F18,11/7/2000,Tu,29030,29316,29190,C26,,,2/12/2001,31432,,,C71
30725,B,F,F18,11/7/2000,Tu,29030,29316,29190,C26,,,2/12/2001,31017,,,C26
30733,B,M,F18,11/8/2000,W,29006,29114,29114,C2,,,2/12/2000,30980,,,C18
30735,B,F,F18,11/8/2000,W,29006,29114,29114,C2,,,2/12/2001,31202,,,C49
30741,B,F,F18,11/8/2000,W,29104,29038,29038,C6,,,2/12/2001,30792,,,C7
30746,B,M,F18,11/8/2000,W,29104,29038,29038,C6,,,2/12/2001,31427,,,C72
30749,B,F,F18,11/8/2000,W,29224,29012,29012,C20,,,2/12/2001,30844,,,C13
30750,B,M,F18,11/8/2000,W,29224,29012,29012,C20,,,2/12/2001,31397,,,C65
30756,T,F,F18,11/8/2000,W,29115,29556,29556,C34,,,2/12/2001,30690,,,C1
30759,T,M,F18,11/8/2000,W,29115,29556,29556,C34,,,2/12/2001,31300,,,C57
30761,B,M,F18,11/8/2000,W,29115,29556,29556,C34,,,2/12/2001,30668,,,C2
30765,B,M,F18,11/8/2000,W,29006,29114,29556,C2,,,2/12/2001,31344,,,C61
30778,T,F,F18,11/9/2000,Th,29009,29222,29222,C11,,,2/12/2001,30717,,,C5
30786,W,F,F18,11/9/2000,Th,29172,29207,29207,C16,,,2/12/2001,31088,,,C33
30787,T,M,F18,11/9/2000,Th,29172,29207,29207,C16,,,2/12/2001,30719,,,C6
30788,T,M,F18,11/9/2000,Th,29172,29207,29207,C16,,,2/12/2001,30984,,,C19
30789,T,M,F18,11/9/2000,Th,29009,29222,29207,C11,,,2/12/2001,31283,,,C54
30792,T,M,F18,11/9/2000,Th,29009,29222,29207,C11,,,2/12/2001,30741,,,C7
30793,B,F,F18,11/9/2000,Th,29259,29050,29050,C23,,,2/12/2001,31179,,,C46
30798,B,F,F18,11/9/2000,Th,29259,29050,29050,C23,,,2/12/2001,30692,,,C3
30799,B,M,F18,11/9/2000,Th,29259,29050,29050,C23,,,2/12/2001,31052,,,C29
30806,B,M,F18,11/9/2000,Th,29305,29260,29260,C25,,,2/12/2001,30710,,,C8
30814,T,M,F18,11/9/2000,Th,29319,29746,29746,C53,,,2/12/2001,31163,,,C39
30825,W,F,F18,11/9/2000,Th,29734,29617,29617,C54,,,2/12/2001,30887/ 90,,,C15
30826,W,M,F18,11/9/2000,Th,29734,29617,29617,C54,,,2/12/2001,30851,,,C12
30829,W,F,F18,11/9/2000,Th,29122,29007,29617,C7,,,2/12/2001,31165,,,C44
30830,W,M,F18,11/9/2000,Th,29122,29007,29617,C7,,,2/12/2000,31180,,,C40
30836,B,M,F18,11/10/2000,F,29370,29237,29237,C28,,,2/12/2001,31408,,,C66
30837,B,F,F18,11/10/2000,F,29370,29237,29237,C28,,,2/12/2001,31213,,,C50
30844,B,M,F18,11/10/2000,F,29407,29121,29121,C31,,,2/12/2001,30749,,,C13
30851,B,F,F18,11/10/2000,F,29407,29121,29121,C31,,,2/12/2001,30826,,,C12
30855,B,M,F18,11/10/2000,F,29407,29121,29121,C31,,,,,,,
30857,W,F,F18,11/10/2000,F,29339,29557,29557,C35,,,2/12/2001,30709,,,C9
30864,B,M,F18,11/10/2000,F,29339,29557,29557,C35,,,2/12/2001,31298,,,C58
30867,B,M,F18,11/10/2000,F,29339,29557,29557,C35,,,2/12/2001,31121,,,C37
30868,W,M,F18,11/10/2000,F,29265,29599,29599,C37,,,2/12/2001,31101,,,C34
30870,W,F,F18,11/10/2000,F,29265,29599,29599,C37,,,2/12/2001,31303,,,C59
30876,W,M,F18,11/10/2000,F,29221,29689,29689,C44,,,2/12/2001,31228,,,C41
30877,W,M,F18,11/10/2000,F,29221,29689,29689,C44,,,2/12/2001,30674,,,C14
30881,B,F,F18,11/10/2000,F,29221,29689,29689,C44,,,2/12/2001,31433,,,C74
30885,W,F,F18,11/10/2000,F,29277,29677,29677,C45,,,2/12/2001,31352,,,C64
30888,T,F,F18,11/10/2000,F,29277,29677,29677,C45,,,2/12/2001,30714,,,C11
