Animal #,CC,Sex,Gen,DOB,Family,Sire,Dam,Sire,Dam
46028.1,(B)L,M,F50,6/20/2012,BrF49-01,45371.1,45301.1,45371,45301
46029.1,(B)R,M,F50,6/20/2012,BrF49-01,45371.1,45301.1,45371,45301
46030.1,(B)L,M,F50,6/20/2012,BrF49-01,45371.1,45301.1,45371,45301
46031.1,(B)R,M,F50,6/20/2012,BrF49-01,45371.1,45301.1,45371,45301
46037.1,(W)L,F,F50,6/19/2012,BrF49-03,45381.1,45305.1,45381,45305
46039.1,(B)R,F,F50,6/20/2012,BrF49-04,45452.1,45307.1,45452,45307
46040.1,(B)L,F,F50,6/20/2012,BrF49-04,45452.1,45307.1,45452,45307
46041.1,(B)L,F,F50,6/20/2012,BrF49-04,45452.1,45307.1,45452,45307
46032.1,(W)R,F,F50,6/19/2012,BrF49-03,45381.1,45305.1,45381,45305
46033.1,(W)L,F,F50,6/19/2012,BrF49-03,45381.1,45305.1,45381,45305
46034.1,(W)L,F,F50,6/19/2012,BrF49-03,45381.1,45305.1,45381,45305
46035.1,(W)R,F,F50,6/19/2012,BrF49-03,45381.1,45305.1,45381,45305
46036.1,(W)L,F,F50,6/19/2012,BrF49-03,45381.1,45305.1,45381,45305
46118.1,(Ag)L,F,F50,6/19/2012,BrF49-24,45318.1,45383.1,45318,45383
46120.1,(Ag)R,F,F50,6/19/2012,BrF49-24,45318.1,45383.1,45318,45383
46121.1,(Ag)L,F,F50,6/19/2012,BrF49-24,45318.1,45383.1,45318,45383
46122.1,(Ag)R,F,F50,6/19/2012,BrF49-24,45318.1,45383.1,45318,45383
46123.1,(Ag)R,F,F50,6/19/2012,BrF49-24,45318.1,45383.1,45318,45383
46060.1,(B)R,M,F50,6/19/2012,BrF49-07,45441.1,45316.1,45441,45316
46061.1,(B)L,M,F50,6/19/2012,BrF49-07,45441.1,45316.1,45441,45316
46119.1,(Ag)R,M,F50,6/19/2012,BrF49-24,45318.1,45383.1,45318,45383
