Animal #,C,Sex,Gen.,D.O.B.,Day,Sire,Dam,Nurse,Strain,Dead,Nec.,Mated,To,Toe-Clip,Weaned,Strain,
34314,W,F,F20,6/12/2001,Tu,32929,32631,32631,C17,,,9/6/2001,35013,,,C71,
34315,W,M,F20,6/12/2001,Tu,32929,32631,32631,C17,,,9/4/2001,34470,,,C8,
34317,T,F,F20,6/12/2001,Tu,32929,32631,32631,C17,,,9/4/2001,34386,,,C2,
34325,W,M,F20,6/12/2001,Tu,32989,32876,32876,C24,,,9/13/2001,34867,,,C46,
34329,W,F,F20,6/12/2001,Tu,32989,32876,32876,C24,,,9/4/2001,34357,,,C1,
34334,W,M,F20,6/12/2001,Tu,33210,33044,33044,C44,,,9/6/2001,34953,,,C55,
34337,W,M,F20,6/12/2001,Tu,33210,33044,33044,C44,,,9/4/2001,34606,,,C25,
34342,B,M,F20,6/12/2001,Tu,33242,33008,33008,C49,,,9/4/2001,34495,,,C13,
34343,B,F,F20,6/12/2001,Tu,33242,33008,33008,C49,,,9/4/2001,34533,,,C11,
34348,B,M,F20,6/12/2001,Tu,33242,33008,33008,C49,,,9/4/2001,34549,,,C14,
34355,W,F,F20,6/13/2001,W,32624,32644,32644,C2 ,,,9/12/2001,35047,,,C81,
34357,W,M,F20,6/13/2001,W,32624,32644,32644,C2 ,,,9/4/2001,34329,,,C1,
34358,B,F,F20,6/13/2001,W,32624,32644,32644,C2 ,,,9/4/2001,34731,,,C33,
34362,B,F,F20,6/13/2001,W,32601,32728,32728,C5,,,9/4/2001,34685,,,C28,
34363,B,F,F20,6/13/2001,W,32601,32728,32728,C5,,,9/4/2001,34431,,,C4,
34369,T,M,F20,6/13/2001,W,32601,32728,32728,C5,,,9/4/2001,34870,,,C44,
34376,B,F,F20,6/13/2001,W,32856,32935,32935,C11,,,9/4/2001,34608,,,C15,
34380,B,F,F20,6/13/2001,W,32856,32935,32935,C11,,,9/4/2001,34423,,,C3,
34382,W,M,F20,6/13/2001,W,32886,32865,32865,C14,,,9/4/2001,34815,,,C40,
34384,W,F,F20,6/13/2001,W,32886,32865,32865,C14,,,9/6/2001,35018,,,C73,
34386,W,M,F20,6/13/2001,W,32886,32865,32865,C14,,,9/4/2001,34317,,,C2,
34392,W,F,F20,6/13/2001,W,32952,32854,32854,C19,,,9/6/2001,34966,,,C65,
34399,B,M,F20,6/13/2001,W,32952,32854,32854,C19,,,9/4/2001,34644,,,C19,
34400,B,M,F20,6/13/2001,W,32661,32848,32848,C25,,,9/4/2001,34647,,,C23,
34401,B,F,F20,6/13/2001,W,32661,32848,32848,C25,,,9/6/2001,34927,,,C60,
34403,B,M,F20,6/13/2001,W,32661,32848,32848,C25,,,9/4/2001,34490,,,C9,
34411,W,M,F20,6/13/2001,W,32742,33042,33042,C31,,,9/4/2001,34543,,,C10,
34418,T,F,F20,6/13/2001,W,32742,33042,33042,C31,,,9/4/2001,34646,,,C20,
34423,B,M,F20,6/13/2001,W,33026,33113,33113,C32,,,9/4/2001,34380,,,C3,
34431,W,M,F20,6/13/2001,W,33014,33105,33105,C33,,,9/4/2001,34363,,,C4,
34434,B,F,F20,6/13/2001,W,33014,33105,33105,C33,,,9/12/2001,35097,,,C84,
34444,T,F,F20,6/13/2001,W,33126,32787,32787,C38,,,9/13/2001,34635,,,C31,
34459,B,F,F20,6/14/2001,Th,32613,32662,32662,C1,,,9/4/2001,34639,,,C18,
34461,B,M,F20,6/14/2001,Th,32613,32662,32662,C1,,,9/4/2001,34558,,,C5,
34470,W,F,F20,6/14/2001,Th,32801,32937,32937,C6,,,9/4/2001,34315,,,C8,
34475,B,M,F20,6/14/2001,Th,32819,32971,32971,C7,,,9/4/2001,34759,,,C36,
34481,W,F,F20,6/14/2001,Th,32861,32986,32986,C12,,,9/6/2001,34942,,,C62,
34486,B,M,F20,6/14/2001,Th,32861,32986,32986,C12,,,9/4/2001,34662,,,C17,
34490,B,F,F20,6/14/2001,Th,32881,32978,32978,C13,,,9/4/2001,34403,,,C9,
34491,B,M,F20,6/14/2001,Th,32881,32978,32978,C13,,,9/4/2001,34697,,,C27,
34494,W,F,F20,6/14/2001,Th,32881,32978,32978,C13,,,9/4/2001,34621,,,C16,
34495,B,F,F20,6/14/2001,Th,32652,32804,32804,C21,,,9/4/2001,34342,,,C13,
34496,B,M,F20,6/14/2001,Th,32652,32804,32804,C21,,,9/4/2001,34872,,,C45,
34499,B,F,F20,6/14/2001,Th,32652,32804,32804,C21,,,9/4/2001,34661,,,C24,
34505,W,M,F20,6/14/2001,Th,32983,32607,32607,C22,,,9/12/2001,35143,,,C85,
34511,B,F,F20,6/14/2001,Th,32983,32607,32607,C22,,,9/6/2001,34923,,,C59,
34514,W,F,F20,6/14/2001,Th,32720,32890,32890,C29,,,9/12/2001,35121,,,C86,
34519,B,M,F20,6/14/2001,Th,32720,32890,32890,C29,,,9/4/2001,34889,,,C47,
34527,B,F,F20,6/14/2001,Th,33089,33121,33121,C35,,,9/4/2001,34588,,,C12,
34528,B,M,F20,6/14/2001,Th,33089,33121,33121,C35,,,9/12/2001,35060,,,C75,
34529,B,M,F20,6/14/2001,Th,33089,33121,33121,C35,,,9/4/2001,34799,,,C38,
34543,T,F,F20,6/14/2001,Th,32967,33078,33078,C37,,,9/4/2001,34411,,,C10,
34545,W,M,F20,6/14/2001,Th,33101,32949,32949,C39,,,9/4/2001,34816,,,C41,
34549,B,F,F20,6/14/2001,Th,33101,32949,32949,C39,,,9/4/2001,34348,,,C14,
34553,B,M,F20,6/14/2001,Th,33163,33050,33050,C40,,,9/4/2001,34343,,,C11,
34558,B,F,F20,6/14/2001,Th,33163,33050,33050,C40,,,9/4/2001,344611,,,C5,
34564,W,M,F20,6/14/2001,Th,33046,33167,33167,C41,,,9/6/2001,34937,,,C53,
34575,B,M,F20,6/14/2001,Th,33172,33063,33063,C42,,,9/6/2001,34999,,,C68,
34577,B,F,F20,6/14/2001,Th,33172,33063,33063,C42,,,9/6/2001,35000,,,C67,
34582,B,F,F20,6/14/2001,Th,32702,33208,33208,C45,,,9/4/2001,34823,,,C42,
34587,T,M,F20,6/14/2001,Th,32702,33208,33208,C45,,,9/12/2001,35045,,,C76,
34588,T,M,F20,6/14/2001,Th,32702,33208,33208,C45,,,9/4/2001,34527,,,C12,
34589,W,F,F20,6/14/2001,Th,32710,33241,33241,C48,,,9/4/2001,34656,,,C22,
