Animal #,C,Sex,Gen.,D.O.B.,Family,Sire,Dam
38101.1,,F,F44,8/3/2010,BrF43-01,36399.1,36368.1
38105.1,,M,F44,8/3/2010,BrF43-01,36399.1,36368.1
38110.1,,M,F44,8/4/2010,BrF43-03,36393.1,36386.1
38117.1,,F,F44,8/4/2010,BrF43-03,36393.1,36386.1
38120.1,,M,F44,8/5/2010,BrF43-05,36358.1,36391.1
38126.1,,F,F44,8/5/2010,BrF43-05,36358.1,36391.1
38128.1,,M,F44,8/5/2010,BrF43-06,36387.1,36400.1
38134.1,,F,F44,8/5/2010,BrF43-06,36387.1,36400.1
38138.1,,M,F44,8/6/2010,BrF43-07,36398.1,36410.1
38143.1,,F,F44,8/6/2010,BrF43-07,36398.1,36410.1
38109.1,,F,F44,8/8/2010,BrF43-02,36377.1,36384.1
38149.1,,M,F44,8/16/2010,BrF43-08,36802.1,36356.1
38153.1,,F,F44,8/16/2010,BrF43-08,36802.1,36356.1
38156.1,,M,F44,8/16/2010,BrF43-12,36451.1,36408.1
38159.1,,F,F44,8/16/2010,BrF43-12,36451.1,36408.1
38165.1,,M,F44,8/16/2010,BrF43-26,36374.1,36474.1
38166.1,,M,F44,8/16/2010,BrF43-26,36374.1,36474.1
38168.1,,F,F44,8/16/2010,BrF43-26,36374.1,36474.1
38181.1,,M,F44,8/17/2010,BrF43-16,36385.1,36439.1
38186.1,,F,F44,8/17/2010,BrF43-19,36364.1,36450.1
38187.1,,M,F44,8/17/2010,BrF43-19,36364.1,36450.1
38188.1,,F,F44,8/17/2010,BrF43-20,36414.1,36452.1
38189.1,,M,F44,8/17/2010,BrF43-20,36414.1,36452.1
38190.1,,F,F44,8/17/2010,BrF43-21,36366.1,36455.1
38191.1,,M,F44,8/17/2010,BrF43-21,36366.1,36455.1
38192.1,,F,F44,8/17/2010,BrF43-22,36380.1,36462.1
38193.1,,M,F44,8/17/2010,BrF43-22,36380.1,36462.1
38194.1,,F,F44,8/17/2010,BrF43-23,36389.1,36465.1
38195.1,,M,F44,8/17/2010,BrF43-23,36389.1,36465.1
38198.1,,F,F44,8/17/2010,BrF43-25,36409.1,36471.1
38199.1,,M,F44,8/17/2010,BrF43-25,36409.1,36471.1
38177.1,,M,F44,8/18/2010,BrF43-14,36421.1,36433.1
38178.1,,F,F44,8/18/2010,BrF43-14,36421.1,36433.1
38179.1,,M,F44,8/18/2010,BrF43-15,36367.1,36434.1
38180.1,,F,F44,8/18/2010,BrF43-15,36367.1,36434.1
38184.1,,F,F44,8/18/2010,BrF43-18,36804.1,36446.1
38185.1,,M,F44,8/18/2010,BrF43-18,36804.1,36446.1
38196.1,,F,F44,8/18/2010,BrF43-24,36406.1,36468.1
38197.1,,M,F44,8/18/2010,BrF43-24,36406.1,36468.1
38200.1,,F,F44,8/18/2010,BrF43-27,36371.1,36803.1
38201.1,,M,F44,8/18/2010,BrF43-27,36371.1,36803.1
38173.1,,M,F44,8/19/2010,BrF43-10,36461.1,36402.1
38174.1,,F,F44,8/19/2010,BrF43-10,36461.1,36402.1
38175.1,,M,F44,8/19/2010,BrF43-11,36431.1,36405.1
38176.1,,F,F44,8/19/2010,BrF43-11,36431.1,36405.1
38182.1,,F,F44,8/19/2010,BrF43-17,36423.1,36444.1
38183.1,,M,F44,8/19/2010,BrF43-17,36423.1,36444.1
38171.1,,M,F44,8/22/2010,BrF43-09,36463.1,36378.1
38172.1,,F,F44,8/22/2010,BrF43-09,36463.1,36378.1
38220.1,,F,F44,8/31/2010,BrF43-38,36992.1,36430.1
38221.1,,M,F44,8/31/2010,BrF43-38,36992.1,36430.1
38229.1,,M,F44,8/31/2010,BrF43-42,36401.1,36476.1
38244.1,,F,F44,8/31/2010,BrF43-50,36440.1,36981.1
38245.1,,M,F44,8/31/2010,BrF43-50,36440.1,36981.1
38546.1,,F,F44,8/31/2010,BrF43-42,36401.1,36476.1
38202.1,,F,F44,9/1/2010,BrF43-28,36473.1,36357.1
38203.1,,M,F44,9/1/2010,BrF43-28,36473.1,36357.1
38204.1,,F,F44,9/1/2010,BrF43-29,36481.1,36359.1
38205.1,,M,F44,9/1/2010,BrF43-29,36481.1,36359.1
38226.1,,F,F44,9/1/2010,BrF43-41,36995.1,36460.1
38227.1,,M,F44,9/1/2010,BrF43-41,36995.1,36460.1
38230.1,,F,F44,9/1/2010,BrF43-43,36355.1,36479.1
38231.1,,M,F44,9/1/2010,BrF43-43,36355.1,36479.1
38238.1,,F,F44,9/1/2010,BrF43-47,36443.1,36797.1
38239.1,,M,F44,9/1/2010,BrF43-47,36443.1,36797.1
38246.1,,F,F44,9/1/2010,BrF43-52,36419.1,36984.1
38247.1,,M,F44,9/1/2010,BrF43-52,36419.1,36984.1
38208.1,,F,F44,9/2/2010,BrF43-31,36993.1,36373.1
38209.1,,M,F44,9/2/2010,BrF43-31,36993.1,36373.1
38210.1,,F,F44,9/2/2010,BrF43-32,36982.1,36375.1
38211.1,,M,F44,9/2/2010,BrF43-32,36982.1,36375.1
38212.1,,F,F44,9/2/2010,BrF43-33,36485.1,36395.1
38213.1,,M,F44,9/2/2010,BrF43-33,36485.1,36395.1
38214.1,,F,F44,9/2/2010,BrF43-35,36976.1,36415.1
38215.1,,M,F44,9/2/2010,BrF43-35,36976.1,36415.1
38216.1,,F,F44,9/2/2010,BrF43-36,36472.1,36420.1
38217.1,,M,F44,9/2/2010,BrF43-36,36472.1,36420.1
38218.1,,F,F44,9/2/2010,BrF43-37,36978.1,36424.1
38219.1,,M,F44,9/2/2010,BrF43-37,36978.1,36424.1
38222.1,,F,F44,9/2/2010,BrF43-39,36459.1,36456.1
38223.1,,M,F44,9/2/2010,BrF43-39,36459.1,36456.1
38224.1,,F,F44,9/2/2010,BrF43-40,36447.1,36458.1
38225.1,,M,F44,9/2/2010,BrF43-40,36447.1,36458.1
38232.1,,F,F44,9/2/2010,BrF43-44,36438.1,36480.1
38234.1,,F,F44,9/2/2010,BrF43-45,36426.1,36482.1
38235.1,,M,F44,9/2/2010,BrF43-45,36426.1,36482.1
38236.1,,F,F44,9/2/2010,BrF43-46,36413.1,36484.1
38237.1,,M,F44,9/2/2010,BrF43-46,36413.1,36484.1
38241.1,,M,F44,9/2/2010,BrF43-48,36749.1,36800.1
38242.1,,F,F44,9/2/2010,BrF43-49,36794.1,36977.1
38243.1,,M,F44,9/2/2010,BrF43-49,36794.1,36977.1
38547.1,,M,F44,9/2/2010,BrF43-44,36438.1,36480.1
38206.1,,F,F44,9/4/2010,BrF43-30,36475.1,36362.1
38207.1,,M,F44,9/4/2010,BrF43-30,36475.1,36362.1
38248.1,,F,F44,9/7/2010,BrF43-04,36360.1,36388.1
38249.1,,M,F44,9/7/2010,BrF43-04,36360.1,36388.1
38250.1,,F,F44,9/7/2010,BrF43-13,36404.1,36427.1
38251.1,,M,F44,9/7/2010,BrF43-13,36404.1,36427.1
38254.1,,F,F44,9/23/2010,BrF43-48,36749.1,36800.1
38252.1,,F,F44,9/24/2010,BrF43-34,36483.1,36411.1
38253.1,,M,F44,9/24/2010,BrF43-34,36483.1,36411.1
38255.1,,M,F44,9/25/2010,BrF43-51,36369.1,36983.1
38256.1,,F,F44,9/25/2010,BrF43-51,36369.1,36983.1
38257.1,,M,F44,10/1/2010,BrF43-53,36999.1,36354.1
38258.1,,F,F44,10/1/2010,BrF43-53,36999.1,36354.1
38259.1,,M,F44,10/1/2010,BrF43-55,36998.1,36436.1
38260.1,,F,F44,10/1/2010,BrF43-55,36998.1,36436.1
38269.1,,M,F44,10/1/2010,BrF43-60,36487.1,36490.1
38270.1,,F,F44,10/1/2010,BrF43-60,36487.1,36490.1
38279.1,,M,F44,10/1/2010,BrF43-65,37000.1,36795.1
38280.1,,F,F44,10/1/2010,BrF43-65,37000.1,36795.1
38281.1,,M,F44,10/1/2010,BrF43-66,36495.1,36979.1
38282.1,,F,F44,10/1/2010,BrF43-66,36495.1,36979.1
38271.1,,M,F44,10/2/2010,BrF43-61,36372.1,36492.1
38272.1,,F,F44,10/2/2010,BrF43-61,36372.1,36492.1
38275.1,,M,F44,10/3/2010,BrF43-63,36980.1,36494.1
38276.1,,F,F44,10/3/2010,BrF43-63,36980.1,36494.1
38277.1,,M,F44,10/3/2010,BrF43-64,36467.1,36496.1
38278.1,,F,F44,10/3/2010,BrF43-64,36467.1,36496.1
38261.1,,M,F44,10/4/2010,BrF43-56,36987.1,36442.1
38262.1,,F,F44,10/4/2010,BrF43-56,36987.1,36442.1
38263.1,,M,F44,10/4/2010,BrF43-57,36497.1,36448.1
38264.1,,F,F44,10/4/2010,BrF43-57,36497.1,36448.1
38265.1,,M,F44,10/4/2010,BrF43-58,36382.1,36486.1
38266.1,,F,F44,10/4/2010,BrF43-58,36382.1,36486.1
38267.1,,M,F44,10/5/2010,BrF43-59,36477.1,36489.1
38268.1,,F,F44,10/5/2010,BrF43-59,36477.1,36489.1
38273.1,,M,F44,10/8/2010,BrF43-62,36449.1,36493.1
38274.1,,F,F44,10/8/2010,BrF43-62,36449.1,36493.1
38285.1,,M,F44,10/14/2010,BrF43-68,36750.1,36990.1
38286.1,,F,F44,10/14/2010,BrF43-68,36750.1,36990.1
38283.1,,M,F44,10/15/2010,BrF43-54,36498.1,36394.1
38284.1,,F,F44,10/15/2010,BrF43-54,36498.1,36394.1
38287.1,,M,F44,10/16/2010,BrF43-70,36499.1,36996.1
38288.1,,F,F44,10/16/2010,BrF43-70,36499.1,36996.1
38107.1,,M,F44,8/3/2010,BrF43-01,36399.1,36368.1
