Animal #,C,Sex,Gen.,D.O.B.,Day,Sire,Dam,Nurse,Strain,Dead,Nec.,Mated,To,Toe-Clip,Weaned,Strain
545,white,M,F3,3/25/1996,M,100,116,116,C1-3,,8/21/1996,6/28/1996,888,2282-2292,8/9/1996,C-3
569,white,F,F3,3/26/1996,TU,186,167,132,C1-15,,8/30/1996,6/28/1996,697,2528-2541,8/11/1996,C1-15
572,black,F,F3,3/26/1996,TU,87,132,132,C1-16,,9/2/1996,6/28/1996,738,2395-2404,8/10/1996,C1-16
575,white,M,F3,3/26/1996,TU,186,167,167,C1-1,,9/5/1996,6/28/1996,1139,2610-2616,8/13/1996,C1-1
578,black,M,F3,3/26/1996,TU,87,132,167,C1-2,,9/5/1996,6/28/1996,1090,2617-2625,8/13/1996,C1-2
662,black,M,F3,3/27/1996,W,84,198,198,C1-11,,8/20/1996,6/28/1996,759,2519-2527,,C1-11
679,white,F,F3,3/27/1996,W,127,141,141,C1-4,,8/26/1996,6/28/1996,692,2379-2390,,C1-4
680,white,M,F3,3/27/1996,W,127,141,141,C1-12,,8/30/1996,6/28/1996,789,2208-2215,,C1-12
684,black,F,F3,3/27/1996,W,154,113,141,C1-24,,8/28/1996,6/28/1996,1060,2579-2590,,C1-24
691,tan,M,F3,3/27/1996,W,154,113,113,C1-13,,9/5/1996,6/28/1996,1085,2679-2686,8/14/1996,C1-13
692,white,M,F3,3/27/1996,W,125,128,128,,,8/28/1996,6/28/1996,679,2379-2390,,
694,tan,F,F3,3/27/1996,W,125,128,128,C1-19,,8/23/1996,6/28/1996,951,2716-2727,8/14/1996,C1-19
696,white,M,F3,3/28/1996,TH,165,202,202,C1-14,,8/20/1996,6/28/1996,1124,2655-2668,8/13/1996,C1-14
697,black,M,F3,3/28/1996,TH,165,202,202,C1-15,,8/30/1996,6/28/1996,569,2528-2541,,C1-15
699,black,F,F3,3/28/1996,TH,73,101,202,C1-18,,8/30/1996,6/28/1996,955,2551-2561,,C1-18
705,black,F,F3,3/28/1996,TH,73,101,101,C1-35,,8/21/1996,6/28/1996,1134,2750-2758,,C1-35
730,black,F,F3,3/28/1996,TH,196,124,124,C1-10,,9/6/1996,6/28/1996,1163,2786-2792,,C1-10
731,black,M,F3,3/28/1996,TH,196,124,124,C1-17,,8/20/1996,6/28/1996,948,2542-2550,8/11/1996,C1-17
733,tan,F,F3,3/28/1996,TH,204,121,121,C1-31,,8/28/1996,6/28/1996,1102,2571-2575,,C1-31
738,tan,M,F3,3/28/1996,TH,204,121,121,C1-16,,8/30/1996,6/28/1996,572,2395-2404,,C1-16
759,black,F,F3,3/28/1996,TH,195,178,178,C1-11,,8/30/1996,6/28/1996,662,2519-2527,,C1-11
789,black,F,F3,3/29/1996,F,68,201,201,C1-12,,8/23/1996,6/28/1996,680,2208-2215,,C1-12
792,black,M,F3,3/29/1996,F,68,201,201,C1-6,,8/28/1996,6/28/1996,1115,2626-2636,8/13/1996,C1-6
853,black,F,F3,4/8/1996,M,123,191,191,C1-25,,8/30/1996,6/28/1996,1059,2687-2695,8/14/1996,C1-25
854,black,M,F3,4/8/1996,M,123,191,191,C1-7,,8/30/1996,6/28/1996,1086,2637-2646,8/13/1996,C1-7
888,black,F,F3,4/10/1996,W,210,266,266,C1-3,,8/23/1996,6/28/1996,545,2282-2292,,C1-3
889,black,M,F3,4/10/1996,W,210,266,266,C1-8,,8/28/1996,6/28/1996,1032,2391-2394,,C1-8
948,white,F,F3,4/12/1996,F,251,272,272,C1-17,,8/23/1996,6/28/1996,731,2542-2550,,C1-17
950,white,F,F3,4/12/1996,F,218,282,272,C1-34,,8/28/1996,6/28/1996,1140,2591-2598,,C1-34
951,white,M,F3,4/12/1996,F,218,282,272,C1-19,,8/20/1996,6/28/1996,694,2716-2727,8/15/1996,C1-19
955,white,M,F3,4/12/1996,F,251,272,282,C1-18,,8/20/1996,6/28/1996,699,2551-2561,,C1-18
1011,black,M,F3,4/12/1996,F,200,280,277,C1-21,,8/28/1996,6/28/1996,1094,2562-2570,,C1-21
1029,white,M,F3,4/12/1996,F,259,256,267,C1-23,,8/28/1996,6/28/1996,1162,2405-2412,8/10/1996,C1-23
1030,white,F,F3,4/12/1996,F,259,256,267,C1-33,,8/30/1996,6/28/1996,1118,2706-2715,8/14/1996,C1-33
1032,tan,F,F3,4/12/1996,F,220,267,267,C1-8,,9/2/1996,6/28/1996,889,2391-2394,,C1-8
1036,white,M,F3,4/12/1996,F,239,260,260,C1-9,,8/28/1996,6/28/1996,1070,2647-2654,8/13/1996,C1-9
1057,white,F,F3,4/13/1996,SA,238,269,233,C1-28,,8/23/1996,6/28/1996,1079,2669-2678,8/13/1996,C1-28
1059,black,M,F3,4/13/1996,SA,238,269,233,C1-25,,8/28/1996,6/28/1996,853,2687-2695,8/14/1996,C1-25
1060,black,M,F3,4/13/1996,SA,245,233,233,C1-24,,8/28/1996,6/28/1996,684,2579-2590,,C1-24
1065,black,F,F3,4/13/1996,SA,250,215,208,C1-27,,8/30/1996,6/28/1996,1071,2696-2705,8/14/1996,C1-27
1070,black,F,F3,4/13/1996,SA,231,208,215,C1-9,,8/23/1996,6/28/1996,1036,2647-2654,8/13/1996,C1-9
1071,black,M,F3,4/13/1996,SA,231,208,215,C1-27,,9/5/1996,6/28/1996,1065,2696-2705,8/14/1996,C1-27
1079,white,M,F3,4/13/1996,SA,223,243,253,C1-28,,9/5/1996,6/28/1996,1057,2669-2678,8/13/1996,C1-28
1085,tan,F,F3,4/13/1996,SA,274,253,243,C1-13,,8/30/1996,6/28/1996,691,2679-2686,8/14/1996,C1-13
1086,tan,F,F3,4/13/1996,SA,223,243,243,C1-7,,9/2/1996,6/28/1996,854,2637-2646,8/13/1996,C1-7
1090,tan,F,F3,4/13/1996,SA,232,216,228,C1-2,,9/2/1996,6/28/1996,578,2617-2625,8/13/1996,C1-2
1091,tan,M,F3,4/13/1996,SA,232,216,228,C1-30,,9/5/1996,6/28/1996,1138,2738-2749,8/17/1996,C1-30
1094,white,F,F3,4/13/1996,SA,217,228,228,C1-21,,8/28/1996,6/28/1996,1011,2562-2570,,C1-21
1102,white,M,F3,4/13/1996,SA,217,228,216,C1-31,,9/5/1996,6/28/1996,733,2571-2575,,C1-31
1115,black,F,F3,4/14/1996,SU,183,226,242,C1-6,,9/2/1996,6/28/1996,792,2626-2636,8/13/1996,C1-6
1118,tan,M,F3,4/14/1996,SU,263,242,242,C1-33,,8/21/1996,6/28/1996,1030,2706-2715,8/14/1996,C1-33
1124,tan,F,F3,4/14/1996,SU,263,242,226,C1-14,,8/23/1996,6/28/1996,696,2655-2668,8/13/1996,C1-14
1134,black,M,F3,4/14/1996,SU,197,249,249,C1-35,,9/5/1996,6/28/1996,705,2750-2758,,C1-35
1138,tan,F,F3,4/14/1996,SU,197,249,135,C1-30,,8/21/1996,6/28/1996,1091,2738-2749,8/17/1996,C1-30
1139,black,F,F3,4/14/1996,SU,?,135,135,C1-1,,9/2/1996,6/28/1996,575,2610-2616,8/13/1996,C1-1
1140,black,M,F3,4/14/1996,SU,?,135,135,C1-34,,8/21/1996,6/28/1996,950,2591-2598,8/12/1996,C1-34
1162,black,F,F3,4/21/1996,SU,230,275,275,C1-23,,9/2/1996,6/28/1996,1029,2405-2412,8/10/1996,C1-23
1163,black,M,F3,4/21/1996,SU,230,275,275,C1-10,,8/26/1996,6/28/1996,730,2780-2792,8/24/1996,C1-10
1182,black,M,F2,5/19/1996,SU,44,40,35,C2-3,,11/5/1996,8/1/1996,1422,3813-3822,9/27/1996,C2-3
1190,black,F,F2,5/19/1996,SU,45,35,40,C2-5,,10/24/1996,7/30/1996,1333,3073-3085,9/12/1996,C2-5
1191,black,M,F2,5/19/1996,SU,45,35,40,C2-5,,10/24/1996,7/30/1996,1310,"3866-67,4404-08",9/30/1996,C2-5
1198,black,F,F3,5/19/1996,SU,323,332,332,C2-19,,10/30/1996,8/14/1996,1561,3501-3510,9/25/1996,C2-19
1202,black,F,F3,5/19/1996,SU,326,334,332,C2-23,,10/31/1996,8/14/1996,1609,3761-3765,9/27/1996,C2-23
1207,black,M,F3,5/19/1996,SU,326,334,334,C2-20,,10/31/1996,8/14/1996,1597,3734-3745,9/27/1996,C2-20
1209,black,M,F3,5/19/1996,SU,323,332,334,C2-6,,10/23/1996,8/1/1996,1380,3206-3212,9/13/1996,C2-6
