Animal #,C,Sex,Gen.,D.O.B.,Family,Sire,Dam
36378.1,Ag,F,F43,4/25/2010,BrF42-01,33776.1,33701.1
36379.1,Ag,F,F43,4/25/2010,BrF42-01,33776.1,33701.1
36380.1,Ag,M,F43,4/25/2010,BrF42-01,33776.1,33701.1
36373.1,W,F,F43,4/19/2010,BrF42-02,33766.1,33712.1
36374.1,W,M,F43,4/19/2010,BrF42-02,33766.1,33712.1
36354.1,W,F,F43,4/14/2010,BrF42-03,33719.1,33713.1
36355.1,B,M,F43,4/14/2010,BrF42-03,33719.1,33713.1
36359.1,B,F,F43,4/15/2010,BrF42-04,33752.1,33725.1
36360.1,B,M,F43,4/15/2010,BrF42-04,33752.1,33725.1
36361.1,W,M,F43,4/15/2010,BrF42-04,33752.1,33725.1
36413.1,B,M,F43,4/29/2010,BrF42-05,33780.1,33728.1
36414.1,B,M,F43,4/29/2010,BrF42-05,33780.1,33728.1
36362.1,Ag,F,F43,4/15/2010,BrF42-06,33724.1,33747.1
36363.1,W,F,F43,4/15/2010,BrF42-06,33724.1,33747.1
36364.1,Ag,M,F43,4/15/2010,BrF42-06,33724.1,33747.1
36356.1,B,F,F43,4/14/2010,BrF42-07,33744.1,33749.1
36357.1,Ag,F,F43,4/14/2010,BrF42-07,33744.1,33749.1
36358.1,Ag,M,F43,4/14/2010,BrF42-07,33744.1,33749.1
36375.1,B,F,F43,4/19/2010,BrF42-08,33727.1,33751.1
36376.1,B,F,F43,4/19/2010,BrF42-08,33727.1,33751.1
36377.1,B,M,F43,4/19/2010,BrF42-08,33727.1,33751.1
36370.1,Ag,F,F43,4/18/2010,BrF42-09,33748.1,33767.1
36371.1,Ag,M,F43,4/18/2010,BrF42-09,33748.1,33767.1
36372.1,B,M,F43,4/18/2010,BrF42-09,33748.1,33767.1
36365.1,W,F,F43,4/16/2010,BrF42-10,33854.1,33773.1
36366.1,B,M,F43,4/16/2010,BrF42-10,33854.1,33773.1
36367.1,Ag,M,F43,4/16/2010,BrF42-10,33854.1,33773.1
36381.1,B,F,F43,4/25/2010,BrF42-11,33703.1,33775.1
36382.1,W,M,F43,4/25/2010,BrF42-11,33703.1,33775.1
36383.1,B,M,F43,4/25/2010,BrF42-11,33703.1,33775.1
36417.1,W,F,F43,5/2/2010,BrF42-12,33740.1,33779.1
36418.1,W,F,F43,5/2/2010,BrF42-12,33740.1,33779.1
36419.1,W,M,F43,5/2/2010,BrF42-12,33740.1,33779.1
36368.1,W,F,F43,4/17/2010,BrF42-13,33729.1,33852.1
36369.1,W,M,F43,4/17/2010,BrF42-13,33729.1,33852.1
36386.1,W,F,F43,4/27/2010,BrF42-14,33790.1,33762.1
36387.1,Ag,M,F43,4/27/2010,BrF42-14,33790.1,33762.1
36388.1,W,F,F43,4/27/2010,BrF42-16,33798.1,33769.1
36389.1,W,M,F43,4/27/2010,BrF42-16,33798.1,33769.1
36390.1,W,M,F43,4/27/2010,BrF42-16,33798.1,33769.1
36402.1,B,F,F43,4/28/2010,BrF42-17,33788.1,33771.1
