Animal #,C,Sex,Gen.,D.O.B.,Day,Sire,Dam,Nurse,Strain,Dead,Nec.,Mated,To,Toe-Clip,Weaned,Strain
59914,T,F,F30,2/14/2005,M,56994,57819,57819,C13,,,5/8/05,60036,,,C2
59916,B,M,F30,2/14/2005,M,56994,57819,57819,C13,,,5/8/05,60566,,,C62
59919,B,F,F30,2/14/2005,M,57346,57516,57516,C68,,,5/8/05,60298,,,C1
59926,W,M,F30,2/14/2005,M,57346,57516,57516,C68,,,5/8/05,60426,,,C43
59929,B,F,F30,2/15/2005,Tu,57353,57181,57181,C70,,,5/8/05,60329,,,C3
59936,B,M,F30,2/15/2005,Tu,57464,57489,57489,C84,,,5/8/05,60483,,,C50
59943,T,F,F30,2/15/2005,Tu,57464,57489,57489,C84,,,5/8/05,60576,,,C4
59945,W,F,F30,2/15/2005,Tu,57765,57656,57656,C100,,,5/8/05,60465,,,C5
59949,W,M,F30,2/15/2005,Tu,57765,57656,57656,C100,,,,,,,
59963,B,F,F30,2/16/2005,W,56992,57057,57057,C12,,,5/8/05,60443,,,C24
59965,B,M,F30,2/16/2005,W,56992,57057,57057,C12,,,,,,,
59969,W,F,F30,2/16/2005,W,57743,56986,56986,C15,,,5/8/05,60056,,,C14
59972,B,M,F30,2/16/2005,W,57743,56986,56986,C15,,,5/8/05,59972,,,C64
59983,B,M,F30,2/16/2005,W,56999,57268,57268,C16,,,5/8/05,60279,,,C32
59984,B,F,F30,2/16/2005,W,56999,57268,57268,C16,,,5/8/05,60473,,,C27
59995,T,M,F30,2/16/2005,W,57149,57107,57107,C21,,,5/8/05,60539,,,C66
59998,T,F,F30,2/16/2005,W,57149,57107,57107,C21,,,5/8/05,60533,,,C10
60000,B,M,F30,2/16/2005,W,57072,57312,57312,C29,,,5/8/05,60165,,,C11
60003,T,F,F30,2/16/2005,W,57072,57312,57312,C29,,,5/8/05,60116,,,C19
60009,B,M,F30,2/16/2005,W,57081,57685,57685,C32,,,5/8/05,60077,,,C13
60013,W,F,F30,2/16/2005,W,57081,57685,57685,C32,,,5/8/05,60595,,,C17
60015,W,F,F30,2/16/2005,W,57081,57685,57685,C32,,,,,,,
60025,B,F,F30,2/16/2005,W,57105,58107,58107,C35,,,5/8/05,59965,,,C7
60036,B,M,F30,2/16/2005,W,57185,57286,57286,C39,,,5/8/05,59914,,,C2
60045,T,M,F30,2/16/2005,W,57209,57363,57363,C42,,,5/8/05,60502,,,C71
60046,T,F,F30,2/16/2005,W,57209,57363,57363,C42,,,5/8/05,60706,,,C15
60055,W,F,F30,2/16/2005,W,57492,57415,57415,C44,,,5/8/05,60248,,,C8
60056,W,M,F30,2/16/2005,W,57492,57415,57415,C44,,,5/8/05,59969,,,C14
60065,B,M,F30,2/16/2005,W,57232,57211,57211,C46,,,5/8/05,60390,,,C38
60066,B,F,F30,2/16/2005,W,57232,57211,57211,C46,,,5/8/05,60207,,,C6
60077,B,F,F30,2/16/2005,W,57499,57403,57403,C48,,,5/8/05,60009,,,C13
60082,W,M,F30,2/16/2005,W,57284,57644,57644,C55,,,5/8/05,60385,,,C40
60085,B,F,F30,2/16/2005,W,57284,57644,57644,C55,,,5/8/05,60696,,,C9
60089,W,M,F30,2/16/2005,W,57531,57411,57411,C57,,,5/8/05,60336,,,C41
60090,W,F,F30,2/16/2005,W,57531,57411,57411,C57,,,5/8/05,60609,,,C20
60099,W,F,F30,2/16/2005,W,57579,57256,57256,C64,,,5/8/05,60554,,,C12
60106,W,M,F30,2/16/2005,W,57579,57256,57256,C64,,,5/8/05,60897,,,C90
60116,W,M,F30,2/16/2005,W,57318,57142,57142,C65,,,5/8/05,60003,,,C19
60123,W,M,F30,2-16-05,W,57370,57571,57571,C73,,,5/8/05,60239,,,C44
