Animal #,CC,Sex,Gen,DOB,Family,Sire,Dam,Sire,Dam
48039.1,AGL,F,F51,10/7/2012,BrF50-68,46204.1,46363.1,46204,46363
48301.1,WR,F,F51,9/10/2012,BrF50-7,46170.1,46080.1,46170,46080
48303.1,BR,F,F51,9/10/2012,BrF50-7,46170.1,46080.1,46170,46080
48309.1,BL,F,F51,9/10/2012,BrF50-4,46099.1,46068.1,46099,46068
48312.1,AGR,F,F51,9/12/2012,BrF50-1,46117.1,46033.1,46117,46033
48317.1,WR,F,F51,9/12/2012,BrF50-1,46117.1,46033.1,46117,46033
48319.1,WL,F,F51,9/12/2012,BrF50-34,46164.1,46186.1,46164,46186
48320.1,WL,F,F51,9/12/2012,BrF50-34,46164.1,46186.1,46164,46186
48327.1,WR,F,F51,9/12/2012,BrF50-5,46171.1,46076.1,46171,46076
48329.1,BR,F,F51,9/10/2012,BrF50-25,46163.1,46083.1,46163,46083
48333.1,BR,F,F51,9/10/2012,BrF50-25,46163.1,46083.1,46163,46083
48335.1,AGR,F,F51,9/12/2012,BrF50-24,46086.1,46082.1,46086,46082
48336.1,BL,F,F51,9/12/2012,BrF50-24,46086.1,46082.1,46086,46082
48339.1,WL,F,F51,9/12/2012,BrF50-6,46217.1,46079.1,46217,46079
48341.1,WR,F,F51,9/14/2012,BrF50-11,46214.1,46105.1,46214,46105
48343.1,BR,F,F51,9/14/2012,BrF50-32,46030.1,46176.1,46030,46176
48349.1,BL,F,F51,9/13/2012,BrF50-2,46201.1,46034.1,46201,46034
48357.1,WR,F,F51,9/13/2012,BrF50-35,46169.1,46187.1,46169,46187
48359.1,AGL,F,F51,9/12/2012,BrF50-13,46179.1,46120.1,46179,46120
48363.1,AGR,F,F51,9/12/2012,BrF50-13,46179.1,46120.1,46179,46120
48367.1,AGL,F,F51,9/12/2012,BrF50-22,46055.1,46054.1,46055,46054
48371.1,BR,F,F51,9/13/2012,BrF50-19,46057.1,46048.1,46057,46048
48375.1,AGL,F,F51,9/11/2012,BrF50-12,46346.1,46118.1,46346,46118
48385.1,WL,F,F51,9/12/2012,BrF50-14,46112.1,46121.1,46112,46121
48389.1,BL,F,F51,9/16/2012,BrF50-29,46089.1,46095.1,46089,46095
48393.1,AGL,F,F51,9/12/2012,BrF50-9,46098.1,46103.1,46098,46103
48397.1,BR,F,F51,9/13/2012,BrF50-26,46097.1,46091.1,46097,46091
48403.1,AGR,F,F51,9/12/2012,BrF50-18,46056.1,46047.1,46056,46047
48405.1,AGL,F,F51,9/14/2012,BrF50-20,46180.1,46049.1,46180,46049
48413.1,WL,F,F51,9/10/2012,BrF50-10,46087.1,46104.1,46087,46104
48415.1,WR,F,F51,9/10/2012,BrF50-10,46087.1,46104.1,46087,46104
48419.1,BL,F,F51,9/13/2012,BrF50-16,46200.1,46041.1,46200,46041
48421.1,BL,F,F51,9/13/2012,BrF50-16,46200.1,46041.1,46200,46041
48427.1,AGL,F,F51,9/20/2012,BrF50-31,46218.1,46175.1,46218,46175
48429.1,AGL,F,F51,9/20/2012,BrF50-31,46218.1,46175.1,46218,46175
48431.1,BL,F,F51,9/22/2012,BrF50-28,46084.1,46094.1,46084,46094
48433.1,AGR,F,F51,9/22/2012,BrF50-28,46084.1,46094.1,46084,46094
48435.1,AGL,F,F51,10/4/2012,BrF50-37,46160.1,46191.1,46160,46191
48437.1,WR,F,F51,10/4/2012,BrF50-38,46111.1,46192.1,46111,46192
48438.1,BR,F,F51,10/4/2012,BrF50-3,26574.1,46067.1,26574,46067
48440.1,BL,F,F51,10/4/2012,BrF50-66,46038.1,46219.1,46038,46219
48442.1,BL,F,F51,10/4/2012,BrF50-66,46038.1,46219.1,46038,46219
48451.1,BL,F,F51,10/4/2012,BrF50-40,46225.1,46198.1,46225,46198
48453.1,WR,F,F51,10/4/2012,BrF50-43,46074.1,46208.1,46074,46208
48455.1,BR,F,F51,10/5/2012,BrF50-61,46075.1,46351.1,46075,46351
48457.1,WR,F,F51,10/5/2012,BrF50-64,46070.1,46367.1,46070,46367
48459.1,WL,F,F51,10/5/2012,BrF50-63,46174.1,46359.1,46174,46359
48469.1,AGL,F,F51,10/5/2012,BrF50-65,46222.1,46385.1,46222,46385
48481.1,AGR,F,F51,10/5/2012,BrF50-56,46207.1,46305.1,46207,46305
48483.1,WL,F,F51,10/5/2012,BrF50-48,46384.1,46173.1,46384,46173
48485.1,WR,F,F51,10/6/2012,BrF50-41,46213.1,46199.1,46213,46199
48487.1,BL,F,F51,10/5/2012,BrF50-62,46029.1,46355.1,46029,46355
48491.1,WR,F,F51,10/5/2012,BrF50-57,46077.1,46343.1,46077,46343
48497.1,AGL,F,F51,10/5/2012,BrF50-39,46110.1,46196.1,46110,46196
49001.1,BR,F,F51,10/5/2012,BrF50-39,46110.1,46196.1,46110,46196
49005.1,AGR,F,F51,10/6/2012,BrF50-50,46350.1,46161.1,46350,46161
49009.1,AGL,F,F51,10/6/2012,BrF50-55,46197.1,46303.1,46197,46303
49013.1,BL,F,F51,10/6/2012,BrF50-69,46167.1,46373.1,46167,46373
49017.1,WL,F,F51,10/6/2012,BrF50-70,46440.1,46037.1,46440,46037
49021.1,AGR,F,F51,10/7/2012,BrF50-52,46066.1,46216.1,46066,46216
49023.1,BL,F,F51,10/6/2012,BrF50-36,46031.1,46188.1,46031,46188
49029.1,BR,F,F51,10/7/2012,BrF50-71,46468.1,46065.1,46468,46065
49033.1,WR,F,F51,10/7/2012,BrF50-46,46362.1,46168.1,46362,46168
49037.1,WR,F,F51,10/7/2012,BrF50-46,46362.1,46168.1,46362,46168
