Animal #,C,Sex,Gen.,D.O.B.,Day,Sire,Dam,Nurse,Strain,Dead,Nec.,Mated,To,Toe-Clip,Weaned,Strain,
36269,B,M,F21,9/24/2001,M,34656,34589,34589,C22,,,12/31/2001,36659,,,C5,
36272,B,M,F21,9/24/2001,M,34656,34589,34589,C22,,,,37185,,,C89,
36280,B,F,F21,9/24/2001,M,34382,34815,34815,C40,,,12/31/2001,36496,,,C12,
36287,W,M,F21,9/24/2001,M,34382,34815,34815,C40,,,12/31/2001,36457,,,C1,
36321,B,F,F21,9/25/2001,Tu,34461,34558,34558,C5,,,12/31/2001,37143,,,C87,
36325,B,M,F21,9/25/2001,Tu,34461,34558,34558,C5,,,12/31/2001,36463,,,C2,
36328,B,F,F21,9/25/2001,Tu,34461,34558,34558,C5,,,12/31/2001,36392,,,C3,
36330,B,F,F21,9/25/2001,Tu,34553,34343,34343,C11,,,12/31/2001,36576,,,C19,
36333,B,M,F21,9/25/2001,Tu,34553,34343,34343,C11,,,12/31/2001,36754,,,C33,
36339,B,M,F21,9/25/2001,Tu,34348,34549,34549,C14,,,12/31/2001,36750,,,C31,
36347,B,F,F21,9/25/2001,Tu,34348,34549,34549,C14,,,12/31/2001,36713,,,C29,
36352,B,M,F21,9/25/2001,Tu,34639,34459,34459,C18,,,12/31/2001,36638,,,C6,
36356,B,F,F21,9/25/2001,Tu,34639,34459,34459,C18,,,12/31/2001,36702,,,C28,
36363,W,M,F21,9/25/2001,Tu,34646,34418,34418,C20,,,12/31/2001,37060,,,C67,
36365,W,F,F21,9/25/2001,Tu,34646,34418,34418,C20,,,12/31/2001,37061,,,C72,
36368,B,M,F21,9/25/2001,Tu,34475,34759,34759,C36,,,12/31/2001,37172,,,C88,
36370,B,F,F21,9/25/2001,Tu,34475,34759,34759,C36,,,12/31/2001,36383,,,C62,
36384,W,F,F21,9/26/2001,W,34357,34329,34329,C1,,,12/31/2001,37106,,,C83,
36389,W,M,F21,9/26/2001,W,34357,34329,34329,C1,,,12/31/2001,36486,,,C7,
36392,W,M,F21,9/26/2001,W,34357,34329,34329,C1,,,12/31/2001,36328,,,C3,
36395,W,M,F21,9/26/2001,W,34315,34470,34470,C8,,,12/31/2001,37098,,,C73,
36401,W,F,F21,9/26/2001,W,34315,34470,34470,C8,,,12/31/2001,37002,,,C65,
36409,B,M,F21,9/26/2001,W,34403,34490,34490,C9,,,12/31/2001,36862,,,C40,
36410,B,F,F21,9/26/2001,W,34403,34490,34490,C9,,,12/31/2001,37091,,,C82,
36414,T,F,F21,9/26/2001,W,34588,34527,34527,C12,,,12/31/2001,36605,,,C21,
36416,B,M,F21,9/26/2001,W,34588,34527,34527,C12,,,12/31/2001,36956,,,C54,
36419,B,M,F21,9/26/2001,W,34588,34527,34527,C12,,,12/31/2001,36876,,,C47,
36422,B,F,F21,9/26/2001,W,34342,34495,34495,C13,,,12/31/2001,36865,,,C44,
36424,B,M,F21,9/26/2001,W,34342,34495,34495,C13,,,12/31/2001,36495,,,C8,
36429,B,F,F21,9/26/2001,W,34399,34644,34644,C19,,,12/31/2001,37005,,,C66,
36432,B,F,F21,9/26/2001,W,34399,34644,34644,C19,,,12/31/2001,36459,,,C4,
36435,W,M,F21,9/26/2001,W,34399,34644,34644,C19,,,12/31/2001,36998,,,C55,
36442,B,F,F21,9/26/2001,W,34685,34362,34362,C28,,,12/31/2001,36785,,,C30,
36445,B,M,F21,9/26/2001,W,34685,34362,34362,C28,,,12/31/2001,36644,,,C25,
36447,W,F,F21,9/26/2001,W,34731,34358,34358,C33,,,12/31/2001,36617,,,C22,
36449,W,F,F21,9/26/2001,W,34731,34358,34358,C33,,,12/31/2001,36851,,,C42,
36457,B,F,F21,9/26/2001,W,34529,34799,34799,C38,,,12/31/2001,36287,,,C1,
36459,B,M,F21,9/26/2001,W,34529,34799,34799,C38,,,12/31/2001,36432,,,C4,
36463,T,F,F21,9/26/2001,W,34839,34640,34640,C43,,,12/31/2001,36325,,,C2,
36467,T,M,F21,9/26/2001,W,34839,34640,34640,C43,,,12/31/2001,36559,,,C9,
36468,B,M,F21,9/26/2001,W,34731,34358,34358,C33,,,12/31/2001,36533,,,C10,
36476,B,M,F21,9/26/2001,W,34369,34870,34870,C44,,,12/31/2001,36616,,,C11,
36479,B,F,F21,9/26/2001,W,34369,34870,34870,C44,,,12/31/2001,36522,,,C13,
36480,T,F,F21,9/26/2001,W,34369,34870,34870,C44,,,12/31/2001,36563,,,C17,
36484,W,F,F21,9/26/2001,W,34575,34999,34999,C68,,,12/31/2001,36552/22,,,C16,
36485,W,M,F21,9/26/2001,W,34575,34999,34999,C68,,,12/31/2001,37139,,,C85,
36486,W,F,F21,9/27/2001,Th,34423,34380,34380,C3,,,12/31/2001,36389,,,C7,
36489,B,M,F21,9/27/2001,Th,34423,34380,34380,C3,,,12/31/2001,37105,,,C74,
36494,W,F,F21,9/27/2001,Th,34386,34317,34317,C2,,,12/31/2001,36733,,,C35,
36495,T,F,F21,9/27/2001,Th,34386,34317,34317,C2,,,12/31/2001,36424,,,C8,
36496,T,M,F21,9/27/2001,Th,34386,34317,34317,C2,,,12/31/2001,36280,,,C12,
36503,B,M,F21,9/27/2001,Th,34431,34363,34363,C4,,,12/31/2001,36978,,,C56,
36505,B,F,F21,9/27/2001,Th,34431,34363,34363,C4,,,12/31/2001,36628,,,C23,
36509,B,M,F21,9/27/2001,Th,34431,34363,34363,C4,,,12/31/2001,36964,,,C59,
36511,T,M,F21,9/27/2001,Th,34608,34376,34376,C15,,,12/31/2001,36720,,,C26,
36515,B,F,F21,9/27/2001,Th,34608,34376,34376,C15,,,12/31/2001,36658,36645,,C24,
36522,W,M,F21,9/27/2001,Th,34621,34494,34494,C16,,,12/31/2001,36479/84,,,C13/16,
36526,W,F,F21,9/27/2001,Th,34621,34494,34494,C16,,,12/31/2001,36604,,,C20,
36533,B,F,F21,9/27/2001,Th,34486,34662,34662,C17,,,12/31/2001,36468,,,C10,
36552,B,M,F21,9/27/2001,Th,34661,34499,34499,C24,,,12/31/2001,36484,,,C16,
36559,T,F,F21,9/27/2001,Th,34661,34499,34499,C24,,,12/31/2001,36467,,,C9,
36563,T,M,F21,9/27/2001,Th,34337,34606,34606,C25,,,12/31/2001,36480,,,C17,
36565,W,F,F21,9/27/2001,Th,34337,34606,34606,C25,,,12/31/2001,36951,,,C60,
36567,W,M,F21,9/27/2001,Th,34593,34618,34618,C26,,,12/31/2001,36641,,,C18,
36570,W,F,F21,9/27/2001,Th,34593,34618,34618,C26,,,12/31/2001,36905,,,C46,
36576,W,M,F21,9/27/2001,Th,34491,34697,34697,C27,,,12/31/2001,36330,,,C19,
36578,T,F,F21,9/27/2001,Th,34491,34697,34697,C27,,,,37198,,,C92,
36579,T,F,F21,9/27/2001,Th,34491,34697,34697,C27,,,12/31/2001,36973,,,C61,
36587,W,F,F21,9/27/2001,Th,34669,34730,34730,C32,,,12/31/2001,36997,,,C64,
36595,B,M,F21,9/27/2001,Th,34669,34730,34730,C32,,,12/31/2001,37077,,,C75,
36598,B,M,F21,9/27/2001,Th,34545,34816,34816,C41,,,12/31/2001,36763,,,C34,
36600,B,F,F21,9/27/2001,Th,34545,34816,34816,C41,,,12/31/2001,36743/45,,,C36,
36605,B,M,F21,9/27/2001,Th,34902,34675,34675,C50,,,12/31/2001,36414,,,C21,
36606,B,F,F21,9/27/2001,Th,34902,34675,34675,C50,,,12/31/2001,37078,,,C79,
36613,W,M,F21,9/27/2001,Th,34564,34937,34937,C53,,,12/31/2001,37109,,,C76,
36616,W,F,F21,9/27/2001,Th,34564,34937,34937,C53,,,12/31/2001,36476,,,C11,
36617,W,M,F21,9/27/2001,Th,34564,34937,34937,C53,,,12/31/2001,36447,,,C22,
36622,W,F,F21,9/27/2001,Th,34923,34511,34511,C59,,,12/31/2001,37089,,,C81,
36628,B,M,F21,9/27/2001,Th,34923,34511,34511,C59,,,12/31/2001,36505,,,C23,
36634,W,M,F21,9/27/2001,Th,34956,34898,34898,C64,,,,37200,,,C90,
36636,W,M,F21,9/27/2001,Th,34956,34898,34898,C64,,,,37009,,,C57,
36638,W,F,F21,9/27/2001,Th,34956,34898,34898,C64,,,12/31/2001,36352,,,C6,
36639,W,M,F21,9/27/2001,Th,34966,34392,34392,C65,,,12/31/2001,36526,,,C20,
36641,W,F,F21,9/27/2001,Th,34966,34392,34392,C65,,,12/31/2001,36567,,,C18,
36644,W,F,F21,9/27/2001,Th,34966,34392,34392,C65,,,12/31/2001,36445,,,C25,
36650,W,M,F21,9/27/2001,Th,34913,34997,34997,C69,,,12/31/2001,36925,,,C51,
36651,W,F,F21,9/27/2001,Th,34913,34997,34997,C69,,,12/31/2001,36677,,,C27,
36658,T,M,F21,9/27/2001,Th,35018,34384,34384,C73,,,12/31/2001,36515,,,C24,
36659,T,F,F21,9/27/2001,Th,35018,34384,34384,C73,,,12/31/2001,36269,,,C5,
36666,B,F,F21,9/27/2001,Th,35018,34384,34384,C73,,,12/31/2001,36875,,,C49,
36672,B,M,F21,9/28/2001,F,34823,34582,34582,C42,,,12/31/2001,37049,,,C68,
36677,B,M,F21,9/28/2001,F,34823,34582,34582,C42,,,12/31/2001,36651,,,C27,
36687,B,F,F21,9/28/2001,F,34703,34951,34951,C54,,,12/31/2001,37084,,,C80,
36688,B,M,F21,9/28/2001,F,34703,34951,34951,C54,,,12/31/2001,36890/87,,,C48,
36692,W,F,F21,9/28/2001,F,34802,34957,34957,C56,,,12/31/2001,36993,,,C63,
36699,B,M,F21,9/28/2001,F,34802,34957,34957,C56,,,12/31/2001,37037,,,C69,
36702,T,M,F21,9/28/2001,F,34931,34890,34890,C61,,,12/31/2001,36356,,,C28,
36713,W,M,F21,9/28/2001,F,34970,34692,34692,C66,,,12/31/2001,36347,,,C29,
36715,W,M,F21,9/28/2001,F,34970,34692,34692,C66,,,12/31/2001,36953,,,C58,
36720,B,F,F21,9/28/2001,F,34970,34692,34692,C66,,,12/31/2001,36511,,,C26,
36733,W,M,F21,9/29/2001,Sa,34868,34961,34961,C51,,,12/31/2001,36494,,,C35,
36740,T,F,F21,9/29/2001,Sa,34868,34961,34961,C51,,,12/31/2001,36764,,,C38,
36743,B,M,F21,9/29/2001,Sa,34927,34401,34401,C60,,,12/31/2001,36600,,,C36,
36747,W,F,F21,9/29/2001,Sa,34927,34401,34401,C60,,,12/31/2001,36771,,,C39,
36750,W,F,F21,9/29/2001,Sa,34942,34481,34481,C62,,,12/31/2001,36339,,,C31,
36754,W,F,F21,9/29/2001,Sa,34942,34481,34481,C62,,,12/31/2001,36333,,,C33,
36758,B,M,F21,9/29/2001,Sa,34942,34481,34481,C62,,,12/31/2001,37094,,,C37,
36763,W,F,F21,9/29/2001,Sa,35000,34577,34577,C67,,,12/31/2001,36598,,,C34,
36764,W,M,F21,9/29/2001,Sa,35000,34577,34577,C67,,,12/31/2001,36740,,,C38,
36771,T,M,F21,9/29/2001,Sa,35000,34577,34577,C67,,,12/31/2001,36747,,,C39,
36775,T,M,F21,9/29/2001,Sa,34876,35027,35027,C70,,,12/31/2001,36907,,,C41,
