Animal #,C,Sex,Gen.,D.O.B.,Day,Sire,Dam,Nurse,Strain,Dead,Nec.,Mated,To,Toe-Clip,Weaned,Strain
18821,B,F,F12,11/30/1998,M,17335,17602,17602,C15,,,3/2/1999,18840,,,C1
18830,B,F,F12,12/2/1998,W,17260,17310,17310,C1,,,3/2/1999,18974,,,C9
18834,W,M,F12,12/2/1998,W,17260,17310,17310,C1,,,3/2/1999,18964,,,C7
18837,B,F,F12,12/2/1998,W,17416,17327,17327,C5,,,3/2/1999,19024,,,C17
18840,B,M,F12,12/2/1998,W,17416,17327,17327,C5,,,3/2/1999,18821,,,C1
18849,W,M,F12,12/2/1998,W,17473,17410,17410,C8,,,3/2/1999,19075,,,C20
18853,W,F,F12,12/2/1998,W,17473,17410,17410,C8,,,3/2/1999,19041,,,C18
18874,W,F,F12,12/3/1998,Th,17311,17474,17474,C6,,,3/2/1999,19007,,,C15
18878,W,M,F12,12/3/1998,Th,17311,17474,17474,C6,,,3/2/1999,19021,,,C14
18886,B,F,F12,12/3/1998,Th,17498,17423,17423,C9,,,3/2/1999,18953,,,C6
18894,B,M,F12,12/3/1998,Th,17498,17423,17423,C9,,,3/2/1999,19094,,,C22
18897,T,M,F12,12/3/1998,Th,17637,17464,17464,C16,,,3/2/1999,18983,,,C10
18901,B,F,F12,12/3/1998,Th,17637,17464,17464,C16,,,3/2/1999,18982,,,C11
18904,W,F,F12,12/3/1998,Th,17409,17683,17683,C17,,,3/2/1999,18937,,,C5
18906,T,M,F12,12/3/1998,Th,17409,17683,17683,C17,,,3/2/1999,18999,,,C12
18917,W,F,F12,12/3/1998,Th,17593,17671,17671,C18,,,3/2/1999,18933,,,C3
18922,W,M,F12,12/3/1998,Th,17593,17671,17671,C18,,,3/2/1999,18944,,,C4
18924,W,M,F12,12/5/1998,Sa,17572,17522,17522,C13,,,3/2/1999,19087,,,C23
18928,T,F,F12,12/5/1998,Sa,17572,17522,17522,C13,,,3/2/1999,19018,,,C16
18933,T,M,F12,12/5/1998,Sa,17681,17397,17397,C19,,,3/2/1999,18917,,,C3
18937,B,M,F12,12/10/1998,Th,17462,17574,17574,C11,,,3/2/1999,18904,,,C5
18938,B,F,F12,12/10/1998,Th,17462,17574,17574,C11,,,3/2/1999,19000,,,C13
18942,T,M,F12,12/10/1998,Th,17820,17623,17623,C26,,,3/2/1999,18968,,,C8
18944,T,F,F12,12/10/1998,Th,17820,17623,17623,C26,,,3/2/1999,18922,,,C4
18951,W,F,F12,12/11/1998,F,17390,17818,17818,C24,,,3/9/1999,19169,,,C26
18953,W,M,F12,12/11/1998,F,17390,17818,17818,C24,,,3/2/1999,18886,,,C6
18962,B,M,F12,12/12/1998,Sa,17555,17737,17737,C20,,,3/9/1999,19164,,,C25
18964,B,F,F12,12/12/1998,Sa,17555,17737,17737,C20,,,3/2/1999,18834,,,C7
18968,W,F,F12,12/12/1998,Sa,17553,17819,17819,C25,,,3/2/1999,18942,,,C8
18974,W,M,F12,12/12/1998,Sa,17553,17819,17819,C25,,,3/2/1999,18830,,,C9
18982,B,M,F12,12/13/1998,Su,17512,17889,17889,C29,,,3/2/1999,18901,,,C11
18983,B,F,F12,12/13/1998,Su,17512,17889,17889,C29,,,3/2/1999,18897,,,C10
18999,B,F,F12,12/14/1998,M,17870,17557,17557,C28,,,3/2/1999,18906,,,C12
19000,B,M,F12,12/14/1998,M,17870,17557,17557,C28,,,3/2/1999,18938,,,C13
19006,T,F,F12,12/15/1998,Tu,17775,17881,17881,C30,,,3/2/1999,19073,,,C21
19007,T,M,F12,12/15/1998,Tu,17775,17881,17881,C30,,,3/2/1999,18874,,,C15
