Animal #,C,Sex,Gen.,D.O.B.,Day,Sire,Dam,Nurse,Strain,Dead,Nec.,Mated,To,Toe-Clip,Weaned,Strain
15211,B,F,F10,4/20/1998,M,13482,13468,13468,C51,,,7/28/1998,15459,,,C7
15212,B,M,F10,4/20/1998,M,13482,13468,13468,C51,,,7/31/1998,15534,,,C9
15241,B,M,F10,4/22/1998,W,13550,13115,13115,C54,,,8/7/1998,15720,,,C32
15243,B,M,F10,4/22/1998,W,13513,13477,13477,C56,,,7/31/1998,15566,,,C10
15287,W,F,F10,4/23/1998,Th,12625,12680,12680,C1-2,,,,15352,,,C3
15299,T,F,F10,4/24/1998,F,13284,13521,13521,C57,,,7/31/1998,15472,,,C8
15303,T,M,F10,4/24/1998,F,13284,13521,13521,C57,,,8/11/1998,15742,,,C35
15305,B,F,F10,4/24/1998,F,13298,13553,13553,C58,,,7/28/1998,15396,,,C6
15308,B,M,F10,4/24/1998,F,13298,13553,13553,C58,,,7/28/1998,15410,,,C4
15316,B,M,F10,4/24/1998,F,12659,12602,12602,C2-2,,,8/5/1998,15647,,,C21
15321,B,F,F10,4/24/1998,F,12659,12602,12602,C2-2,,,,15321,,,C30
15336,W,M,F10,4/25/1998,Sa,12698,12626,12626,C6-2,,,,15426,,,C5
15345,W,F,F10,4/25/1998,Sa,12698,12626,12626,C6-2,,,8/5/1998,15649,,,C23
15352,T,M,F10,4/26/1998,Su,13456,13518,13518,C52,,,7/28/1998,15287,,,C3
15367,T,M,F10,4/26/1998,Su,13522,13282,13282,C55,,,8/5/1998,15641,,,C22
15375,W,F,F10,4/26/1998,Su,12600,12704,12704,C7-2,,,7/31/1998,15526,,,C15
15376,W,M,F10,4/26/1998,Su,12600,12704,12704,C7-2,,,7/31/1998,15546,,,C11
15388,B,F,F10,4/27/1998,M,13385,13203,13203,C44,,,8/5/1998,15594,,,C20
15391,B,F,F10,4/27/1998,M,13593,13240,13240,C61,,,8/7/1998,15673,,,C26
15396,B,M,F10,4/27/1998,M,13593,13240,13240,C61,,,7/28/1998,15305,,,C6
15404,B,F,F10,4/27/1998,M,13579,13252,13252,C62,,,7/31/1998,15543,,,C16
15407,W,M,F10,4/27/1998,M,13579,13252,13252,C62,,,,16194,,,C36
15410,W,F,F10,4/27/1998,M,13088,13584,13584,C65,,,7/28/1998,15308,,,C4
15423,T,M,F10,4/27/1998,M,13643,13443,13443,C68,,,8/11/1998,15767,,,C38
15426,B,F,F10,4/27/1998,M,13643,13443,13443,C68,,,7/28/1998,15336,,,C5
15459,T,M,F10,4/28/1998,Tu,12796,12677,12677,C10-2,,,7/28/1998,15211,,,C7
15460,T,F,F10,4/28/1998,Tu,12796,12677,12677,C10-2,,,8/14/1998,15832,,,C48
15472,T,M,F10,4/29/1998,W,13610,13453,13453,C60,,,7/31/1998,15299,,,C8
15485,W,F,F10,4/29/1998,W,13610,13453,13453,C60,,,7/31/1998,15555,,,C14
15488,B,F,F10,4/29/1998,W,13657,13595,13595,C69,,,8/7/1998,15703,,,C28
15526,B,M,F10,4/30/1998,Th,13583,13375,13375,C63,,,7/31/1998,15375,,,C15
15534,B,F,F10,4/30/1998,Th,13565,13865,13865,C78,,,7/31/1998,15212,,,C9
15538,B,M,F10,4/30/1998,Th,13565,13865,13865,C78,,,8/11/1998,15759,,,C39
15543,T,M,F10,4/30/1998,Th,13834,13652,13652,C79,,,7/31/1998,15404,,,C16
15546,B,F,F10,4/30/1998,Th,13834,13652,13652,C79,,,7/31/1998,15376,,,C11
15550,B,F,F10,4/30/1998,Th,13834,13652,13652,C79,,,,16387,,,C29
15555,B,M,F10,4/30/1998,Th,12759,12821,12821,C12-2,,,7/31/1998,15485,,,C14
15566,W,F,F10,4/30/1998,Th,12617,12778,12778,C8-2,,,7/31/1998,15243,,,C10
15569,B,M,F10,4/30/1998,Th,12617,12778,12778,C8-2,,,8/5/1998,15622,,,C18
15575,exotic,M,F10,5/1/1998,F,13552,13847,13847,C71,,,8/5/1998,15608,,,C19
15594,W,M,F10,5/2/1998,Sa,13393,13850,13850,C72,,,8/5/1998,15388,,,C20
15603,B,F,F10,5/2/1998,Sa,13393,13850,13850,C72,,,,15960,,,C42
15608,B,F,F10,5/2/1998,Sa,13435,13833,13833,C73,,,8/5/1998,15575,,,C19
15612,W,M,F10,5/2/1998,Sa,13435,13833,13833,C73,,,8/11/1998,15750,,,C40
15616,T,M,F10,5/2/1998,Sa,13849,13604,13604,C75,,,8/14/1998,15802,,,C43
15622,B,F,F10,5/2/1998,Sa,13849,13604,13604,C75,,,8/5/1998,15569,,,C18
15625,W,M,F10,5/2/1998,Sa,13840,13639,13639,C77,,,8/5/1998,15650,,,C24
15627,T,F,F10,5/2/1998,Sa,13840,13639,13639,C77,,,8/11/1998,15754,,,C41
15641,B,F,F10,5/3/1998,Su,12882,12660,12660,C13-2,,,8/5/1998,15367,,,C22
15643,B,M,F10,5/3/1998,Su,12882,12660,12660,C13-2,,,8/7/1998,15689,,,C27
15647,B,F,F10,5/3/1998,Su,12706,12618,12618,C3-2,,,8/5/1998,15316,,,C21
15649,B,M,F10,5/3/1998,Su,12706,12618,12618,C3-2,,,8/5/1998,15345,,,C23
15650,B,F,F10,5/4/1998,M,13247,13628,13628,C66,,,8/5/1998,15625,,,C24
15652,B,M,F10,5/4/1998,M,13247,13628,13628,C66,,,8/14/1998,15852,,,C49
15671,W,F,F10,5/6/1998,W,13622,13416,13416,C67,,,,16012,,,C56
15673,W,M,F10,5/6/1998,W,13622,13416,13416,C67,,,8/7/1998,15391,,,C26
15677,B,F,F10,5/6/1998,W,12719,12609,12609,C4-2,,,,15956,,,C54
15681,B,F,F10,5/6/1998,W,12719,12609,12609,C4-2,,,,16144,,,C25
15687,W,M,F10,5/7/1998,Th,13860,13917,13917,C80,,,8/7/1998,15701,,,C31
15689,W,F,F10,5/7/1998,Th,13860,13917,13917,C80,,,8/7/1998,15643,,,C27
15701,T,F,F10,5/7/1998,Th,12955,12703,12703,C19-2,,,8/7/1998,15687,,,C31
15703,B,M,F10,5/7/1998,Th,12955,12703,12703,C19-2,,,8/7/1998,15488,,,C28
15710,B,M,F10,5/7/1998,Th,13534,13842,13842,C74,,,,15321,,,C30
15712,T,F,F10,5/7/1998,Th,13534,13842,13842,C74,,,8/14/1998,15854,,,C50
15715,B,M,F10,5/8/1998,F,13918,13346,13346,C81,,,8/21/1998,16058,,,C57
15720,B,F,F10,5/8/1998,F,12984,12726,12726,C23-2,,,8/7/1998,15241,,,C32
15742,T,F,F10,5/9/1998,Sa,13994,13634,13634,C84,,,8/11/1998,15303,,,C35
15750,W,F,F10,5/10/1998,Su,13858,13544,13544,C76,,,8/11/1998,15612,,,C40
15754,T,M,F10,5/10/1998,Su,13858,13544,13544,C76,,,8/11/1998,15627,,,C41
15756,W,M,F10,5/10/1998,Su,12830,12956,12956,C18-2,,,8/26/1998,16151,,,C61
15759,W,F,F10,5/10/1998,Su,12830,12956,12956,C18-2,,,8/11/1998,15538,,,C39
15767,T,F,F10,5/10/1998,Su,12820,12987,12987,C22-2,,,8/11/1998,15423,,,C38
15768,T,M,F10,5/10/1998,Su,12820,12987,12987,C22-2,,,8/14/1998,15815,,,C45
15802,W,F,F10,5/13/1998,W,12944,12674,12674,C16-2,,,8/14/1998,15616,,,C43
15815,T,F,F10,5/13/1998,W,12773,13033,13033,C26-2,,,8/14/1998,15768,,,C45
15832,B,M,F10,5/13/1998,W,13242,13448,13448,C48,,,8/14/1998,15460,,,C48
15852,B,F,F10,5/14/1998,Th,13631,14079,14079,C85,,,8/14/1998,15652,,,C49
15854,B,M,F10,5/14/1998,Th,13631,14079,14079,C85,,,8/14/1998,15712,,,C50
15857,B,F,F10,5/14/1998,Th,13501,14112,14112,C87,,,8/28/1998,16208,,,C68
15865,T,M,F10,5/14/1998,Th,13501,14112,14112,C87,,,,15957,,,C51
15867,W,F,F10,5/14/1998,Th,14121,13995,13995,C88,,,8/19/1998,15986,,,C55
15956,W,M,F10,5/18/1998,M,12976,12889,12889,C20-2,,,9/14/1998,15677,,,C54
15957,B,F,F10,5/18/1998,M,12809,13026,13026,C24-2,,,,15865,,,C51
15960,B,M,F10,5/18/1998,M,12809,13026,13026,C24-2,,,,15603,,,C42
15986,B,M,F10,5/20/1998,W,12600,12788,12788,C89,,,8/19/1998,15867,,,C55
15988,T,F,F10,5/20/1998,W,12600,12788,12788,C89,,,8/26/1998,16101,,,C60
15994,W,M,F10,5/20/1998,W,12828,13063,13063,C27-2,,,8/2/1998,16062,,,C58
16012,B,M,F10,5/21/1998,Th,13200,13144,13144,C35-2,,,,15671,,,C56
16058,B,F,F10,5/22/1998,F,13184,12767,12767,C33-2,,,8/21/1998,15715,,,C57
16060,B,M,F10,5/22/1998,F,13184,12767,12767,C33-2,,,8/26/1998,16189,,,C64
16062,W,F,F10,5/22/1998,F,13021,13196,13196,C38-2,,,8/2/1998,15994,,,C58
16066,B,M,F10,5/22/1998,F,13021,13196,13196,C38-2,,,9/14/1998,16107,,,C59
16096,W,F,F10,5/24/1998,Su,13157,12908,12908,C31-2,,,8/26/1998,16159,,,C63
16101,B,M,F10,5/24/1998,Su,13157,12908,12908,C31-2,,,8/26/1998,15988,,,C60
16107,B,F,F10,5/24/1998,Su,13256,13304,13304,C41-2,,,9/14/1998,16066,,,C59
16109,B,M,F10,5/24/1998,Su,13256,13304,13304,C41-2,,,8/28/1998,16204,,,C67
16144,B,M,F10,5/25/1998,M,13153,13576,13576,C64,,,,15681,,,C25
16151,T,F,F10,5/25/1998,M,12886,13271,13271,C39-2,,,8/26/1998,15756,,,C61
16159,T,M,F10,5/26/1998,Tu,13308,13155,13155,C40-2,,,8/26/1998,16096,,,C63
16164,B,F,F10,5/26/1998,Tu,13308,13155,13155,C40-2,,,8/26/1998,16197,,,C66
16189,B,F,F10,5/27/1998,W,13135,12837,12837,C30-2,,,8/26/1998,16060,,,C64
16194,W,F,F10,5/27/1998,W,13057,13207,13207,C36-2,,,,15407,,,C36
16197,W,M,F10,5/27/1998,W,13057,13207,13207,C36-2,,,8/26/1998,16164,,,C66
16204,B,F,F10,5/28/1998,Th,13397,13366,13366,C46-2,,,8/28/1998,16109,,,C67
16208,W,M,F10,5/28/1998,Th,13397,13366,13366,C46-2,,,8/28/1998,15857,,,C68
16387,T,M,F10,6/10/1998,W,13522,13282,13282,C55-2,,,,15550,,,C29
