Animal #,C,Sex,Gen.,D.O.B.,Day,Sire,Dam,Nurse,Strain,Dead,Nec.,Mated,To,Toe-Clip,Weaned,Strain
24319,B,F,F15,11/3/1999,W,21602,21738,21738,C3,,,2/1/2000,24496,,,C18
24326,W,M,F15,11/3/1999,W,21649,21764,21764,C6,,,2/1/2000,24418,,,C1
24330,B,M,F15,11/3/1999,W,22256,22111,21764,C42,,,2/1/2000,24570,,,C8
24333,T,M,F15,11/3/1999,W,21701,21931,21931,C24,,,2/1/2000,24572,,,C9
24339,B,F,F15,11/3/1999,W,21701,21931,21931,C24,,,2/1/2000,24461,,,C37
24345,B,M,F15,11/3/1999,W,22217,22268,21814,C40,,,2/1/2000,24580,,,C10
24350,B,F,F15,11/3/1999,W,22217,22268,22268,C40,,,2/1/2000,24568,,,C25
24354,B,F,F15,11/3/1999,W,22118,21814,22268,C34,,,2/1/2000,24658,,,C30
24355,W,M,F15,11/3/1999,W,22118,21814,22268,C34,,,2/1/2000,24943/ 25309,,,C10/82
24358,T,F,F15,11/3/1999,W,21649,21764,22111,C6,,,2/1/2000,24554,,,C22
24364,B,F,F15,11/3/1999,W,22321,21725,21725,C45,,,2/1/2000,24562,,,C23
24367,B,M,F15,11/3/1999,W,21602,21738,21725,C3,,,2/1/2000,24408,,,C2
24408,B,F,F15,11/4/1999,R,21622,21672,21672,C1,,,2/1/2000,24367,,,C2
24409,W,M,F15,11/4/1999,R,21622,21672,21672,C1,,,2/1/2000,24597,,,C11
24414,W,F,F15,11/4/1999,R,21756,21654,21672,C14,,,2/1/2000,24463,,,C15
24415,W,F,F15,11/4/1999,R,21756,21654,21672,C14,,,2/1/2000,24441,,,C4
24418,B,F,F15,11/4/1999,R,21745,21609,21609,C12,,,2/1/2000,24326,,,C1
24421,B,F,F15,11/4/1999,R,21705,22255,21609,C37,,,2/1/2000,24458,,,C6
24422,B,M,F15,11/4/1999,R,21705,22255,21609,C37,,,2/1/2000,24609,,,C13
24441,B,M,F15,11/4/1999,R,21967,21769,21769,C30,,,2/1/2000,24415,,,C4
24450,B,M,F15,11/4/1999,R,21756,21654,22255,C12,,,2/1/2000,24497,,,C14
24458,B,M,F15,11/4/1999,R,21812,22270,22270,C38,,,2/1/2000,24421,,,C6
24461,B,M,F15,11/4/1999,R,21967,21769,22270,C30,,,,24339,,,C37
24463,T,M,F15,11/5/1999,F,21693,21631,21631,C7,,,2/1/2000,24414,,,C15
24465,T,M,F15,11/5/1999,F,21693,21631,21631,C7,,,2/1/2000,24532,,,C16
24469,B,F,F15,11/5/1999,F,21663,21799,21631,C17,,,2/7/2000,25026,,,C55
24476,W,F,F15,11/5/1999,F,21674,21805,21608,C18,,,2/3/2000,24966,,,C46
24478,W,M,F15,11/5/1999,F,21735,21632,21632,C11,,,2/1/2000,24504,,,C17
24484,B,M,F15,11/5/1999,F,21771,21645,21632,C16,,,,24650,,,C32
24486,T,M,F15,11/5/1999,F,21771,21645,21632,C16,,,2/1/2000,25020,,,C48
24489,W,F,F15,11/5/1999,F,21753,21688,21688,C13,,,2/1/2000,24528,,,C21
24491,W,M,F15,11/5/1999,F,21753,21688,21688,C13,,,2/16/2000,25130/ 29,,,C62
24496,B,M,F15,11/5/1999,F,21863,22394,21688,C23,,,2/1/2000,24319,,,C18
24497,T,F,F15,11/5/1999,F,21771,21645,21645,C16,,,,24450,,,C14
24503,W,F,F15,11/5/1999,F,21735,21632,21645,C11,,,2/7/2000,24998,,,C52
24504,W,F,F15,11/5/1999,F,21735,21632,21645,C11,,,2/1/2000,24478,,,C17
24506,W,M,F15,11/5/1999,F,21663,21799,21799,C17,,,2/3/2000,24953,,,C42
24519,B,F,F15,11/5/1999,F,21727,21608,21805,C9,,,2/3/2000,24949,,,C44
24521,B,F,F15,11/5/1999,F,21804,21650,21650,C20,,,2/1/2000,24576,,,C26
24525,T,M,F15,11/5/1999,F,21804,21650,21650,C20,,,2/1/2000,24527,,,C20
24527,T,F,F15,11/5/1999,F,22216,21703,21650,C36,,,2/1/2000,24525,,,C20
24528,T,M,F15,11/5/1999,F,22216,21703,21650,C36,,,2/1/2000,24489,,,C21
24532,B,F,F15,11/5/1999,F,21860,21724,21724,C22,,,2/1/2000,24465,,,C16
24538,W,M,F15,11/5/1999,F,22280,21664,21724,C43,,,2/1/2000,24697,,,C38
24542,B,F,F15,11/5/1999,F,21863,22394,22394,C23,,,2/1/2000,24616,,,C29
24550,W,F,F15,11/5/1999,F,21920,21739,21739,C26,,,2/1/2000,24603,,,C27
24554,W,M,F15,11/5/1999,F,21926,21709,21739,C27,,,2/1/2000,24358,,,C22
24555,W,F,F15,11/5/1999,F,21926,21709,21739,C27,,,2/3/2000,24938,,,C41
24562,W,M,F15,11/5/1999,F,21926,21709,21709,C27,,,2/1/2000,24364,,,C23
24568,B,M,F15,11/5/1999,F,21929,21723,21723,C28,,,2/1/2000,24350,,,C25
24570,W,F,F15,11/5/1999,F,21929,21723,21723,C28,,,2/1/2000,24330,,,C8
24572,B,F,F15,11/5/1999,F,21774,22124,21723,C32,,,2/1/2000,24333,,,C9
24576,B,M,F15,11/5/1999,F,21774,22124,21723,C32,,,2/1/2000,24521,,,C26
24579,W,M,F15,11/5/1999,F,21965,21790,21790,C29,,,2/7/2000,24983,,,C49
24580,W,F,F15,11/5/1999,F,21965,21790,21790,C29,,,2/1/2000,24345,,,C10
24583,B,M,F15,11/5/1999,F,22313,21971,21790,C44,,,2/3/2000,24959,,,C43
24586,B,F,F15,11/5/1999,F,21774,22124,22124,C32,,,2/1/2000,24704,,,C39
24590,B,M,F15,11/5/1999,F,21929,21723,22124,C28,,,2/1/2000,24662,,,C34
24597,W,F,F15,11/5/1999,F,22216,21703,21703,C36,,,2/1/2000,24409,,,C11
24603,T,M,F15,11/5/1999,F,21804,21650,21703,C20,,,2/1/2000,24550,,,C27
24609,T,F,F15,11/5/1999,F,22280,21664,21664,C43,,,2/1/2000,24422,,,C13
24613,B,M,F15,11/5/1999,F,21860,21724,21664,C22,,,2/9/2000,25109,,,C58
24615,B,F,F15,11/5/1999,F,21860,21724,21664,C22,,,2/7/2000,25008,,,C54
24616,B,M,F15,11/5/1999,F,22313,21971,21971,C44,,,2/1/2000,24542,,,C29
24623,W,M,F15,11/5/1999,F,21965,21790,21971,C29,,,2/9/2000,25095,,,C59
24635,T,F,F15,11/6/1999,S,21763,21755,21755,C15,,,2/1/2000,24646,,,C35
24639,W,M,F15,11/6/1999,S,21763,21755,21755,C15,,,2/7/2000,24989,,,C50
24646,B,M,F15,11/6/1999,S,21791,21601,21601,C19,,,2/1/2000,24635,,,C35
24650,B,F,F15,11/6/1999,S,21763,21755,21601,C15,,,2/1/2000,24484,,,C32
24655,B,F,F15,11/6/1999,S,21623,22112,22112,C31,,,2/7/2000,24988,,,C51
24658,B,M,F15,11/6/1999,S,21803,22122,22112,C33,,,2/1/2000,24354,,,C30
24659,T,F,F15,11/6/1999,S,21803,22122,22112,C33,,,2/3/2000,24969,,,C47
24662,B,F,F15,11/6/1999,S,22397,22305,22305,C46,,,2/1/2000,24590,,,C34
24666,B,M,F15,11/6/1999,S,21791,21601,22305,C19,,,2/24/2000,25153,,,C63
24697,W,F,F15,11/7/1999,Su,21714,21659,21659,C8,,,2/1/2000,24538,,,C38
24704,W,M,F15,11/7/1999,Su,21714,21659,21659,C8,,,2/1/2000,24586,,,C39
24936,B,M,F15,11/24/1999,W,22849,23002,23002,C59,,,2/9/2000,25104,,,C60
24938,B,M,F15,11/24/1999,W,22849,23002,23002,C59,,,2/3/2000,24555,,,C41
24949,B,M,F15,11/25/1999,Th,22695,22278,22278,C49,,,2/3/2000,24519,,,C44
24953,B,F,F15,11/25/1999,Th,22695,22278,22278,C49,,,2/3/2000,24506,,,C42
24959,B,F,F15,11/25/1999,Th,22699,22315,22315,C50,,,2/3/2000,24583,,,C43
24966,W,M,F15,11/25/1999,Th,22699,22315,22315,C50,,,2/3/2000,24476,,,C46
24969,W,M,F15,11/25/1999,Th,22695,22278,22315,C49,,,2/3/2000,24659,,,C47
24983,B,F,F15,11/26/1999,F,22306,22621,22621,C47,,,2/7/2000,24579,,,C49
24985,B,F,F15,11/26/1999,F,22501,22848,22621,C55,,,2/7/2000,25005,,,C53
24988,B,M,F15,11/26/1999,F,22620,22282,22282,C48,,,2/7/2000,24655,,,C51
24989,B,F,F15,11/26/1999,F,22620,22282,22282,C48,,,2/7/2000,24639,,,C50
24995,W,F,F15,11/26/1999,F,22620,22282,22282,C48,,,2/16/2000,25286,,,C67
24998,T,M,F15,11/26/1999,F,22284,22823,22823,C52,,,2/7/2000,24503,,,C52
25005,W,M,F15,11/26/1999,F,22808,22286,22823,C53,,,2/7/2000,24985,,,C53
25006,W,F,F15,11/26/1999,F,22808,22286,22823,C53,,,2/9/2000,25076,,,C57
25008,B,M,F15,11/26/1999,F,22501,22848,22848,C55,,,2/7/2000,24615,,,C54
25013,B,M,F15,11/26/1999,F,22306,22621,22848,C47,,,2/21/2000,25368,,,C75
25016,W,M,F15,11/26/1999,F,22809,22840,22840,C56,,,2/7/2000,25023,,,C56
25020,T,F,F15,11/26/1999,F,23001,22821,22840,C60,,,2/7/2000,24486,,,C48
25023,B,F,F15,11/26/1999,F,23001,22821,22821,C60,,,2/7/2000,25016,,,C56
25026,B,M,F15,11/26/1999,F,23001,22821,22821,C60,,,2/7/2000,24469,,,C55
25028,W,F,F15,11/26/1999,F,22809,22840,22821,C56,,,2/16/2000,25133/ 25423,,,C64
25073,B,F,F15,11/30/1999,Tu,23006,23139,23139,C67,,,2/16/2000,25317,,,C71
25076,W,M,F15,11/30/1999,Tu,23006,23139,23139,C67,,,2/9/2000,25006,,,C57
25095,T,F,F15,12/1/1999,W,21643,21598,21598,C2,,,2/9/2000,24623,,,C59
25098,B,M,F15,12/1/1999,W,22824,23142,21598,C66,,,3/1/2000,25468,,,C77
25104,B,F,F15,12/1/1999,W,22824,23142,23142,C66,,,2/9/2000,24936,,,C60
25109,T,F,F15,12/1/1999,W,21643,21598,23142,C2,,,2/9/2000,24613,,,C58
25111,T,M,F15,12/1/1999,W,21643,21598,23142,C2,,,3/1/2000,25465/ 25444,,,C78/3
25129,W,F,F15,12/2/1999,Th,23059,23037,23037,C61,,,,24491,,,C62
25147,W,F,F15,12/2/1999,Th,23138,23015,23015,C70,,,2/16/2000,25186,,,C65
25153,B,F,F15,12/2/1999,Th,23138,23015,23015,C70,,,2/24/2000,24666,,,C63
25186,B,M,F15,12/3/1999,F,21614,21697,21697,C5,,,2/16/2000,25147,,,C65
25189,B,M,F15,12/3/1999,F,21614,21697,21697,C5,,,2/16/2000,25282,,,C66
25282,T,F,F15,12/6/1999,M,21737,22218,22218,C35,,,2/16/2000,25189,,,C66
25286,W,M,F15,12/6/1999,M,21737,22218,22218,C35,,,2/16/2000,24995,,,C67
25309,B,F,F15,12/7/1999,Tu,22267,22807,22807,C51,,,2/16/2000,25140/ 24355,,,C69/82
25312,B,F,F15,12/7/1999,Tu,22267,22807,22807,C51,,,2/21/2000,25356,,,C74
25317,B,M,F15,12/7/1999,Tu,22267,22807,22807,C51,,,2/16/2000,25073,,,C71
25319,W,M,F15,12/7/1999,Tu,22815,23058,23058,C62,,,2/16/2000,25355,,,C73
25355,B,F,F15,12/9/1999,Th,21732,21615,21615,C10,,,2/21/2000,25143/ 25319,,,C73
25356,B,M,F15,12/9/1999,Th,21732,21615,21615,C10,,,2/21/2000,25312,,,C74
25367,T,M,F15,12/10/1999,F,22946,22702,22702,C57,,,3/1/2000,25483,,,C80
25368,B,F,F15,12/10/1999,F,22946,22702,22702,C57,,,2/21/2000,25013,,,C75
