Animal #,C,Sex,Gen.,D.O.B.,Day,Sire,Dam,Nurse,Strain,Dead,Nec.,Mated,To,Toe-Clip,Weaned,Strain,,,,,,,,,,,,,,,,,,,,
20148,T,M,F13,3/21/1999,Su,18897,18983,18983,C10,,,,20175,,,C1,,,,,,,,,,,,,,,,,,,,
20152,T,M,F13,3/21/1999,Su,18897,18983,18983,C10,,,,20260,,,C4,,,,,,,,,,,,,,,,,,,,
20154,W,F,F13,3/21/1999,Su,19041,18853,18853,C18,,,,20314,,,C18,,,,,,,,,,,,,,,,,,,,
20156,W,F,F13,3/21/1999,Su,19041,18853,18853,C18,,,,20299,,,C17,,,,,,,,,,,,,,,,,,,,
20160,T,M,F13,3/21/1999,Su,19041,18853,18853,C18,,,,20247,,,C5,,,,,,,,,,,,,,,,,,,,
20167,W,M,F13,3/22/1999,M,18937,18904,18904,C5,,,,20288,,,C9,,,,,,,,,,,,,,,,,,,,
20168,W,M,F13,3/22/1999,M,18937,18904,18904,C5,,,,20341,,,C19,,,,,,,,,,,,,,,,,,,,
20175,T,F,F13,3/22/1999,M,18937,18904,18904,C5,,,,20148,,,C1,,,,,,,,,,,,,,,,,,,,
20176,B,M,F13,3/22/1999,M,19000,18938,18938,C13,,,,20339,,,C20,,,,,,,,,,,,,,,,,,,,
20183,B,M,F13,3/22/1999,M,19018,18928,18928,C16,,,,20236,,,C13,,,,,,,,,,,,,,,,,,,,
20185,W,F,F13,3/22/1999,M,19018,18928,18928,C16,,,,20428,,,C34,,,,,,,,,,,,,,,,,,,,
20186,W,F,F13,3/22/1999,M,19018,18928,18928,C16,,,,20230,,,C7,,,,,,,,,,,,,,,,,,,,
20189,T,F,F13,3/22/1999,M,19024,18837,18837,C17,,,,20207,,,C3,,,,,,,,,,,,,,,,,,,,
20190,B,M,F13,3/22/1999,M,19024,18837,18837,C17,,,,20804,,,C49,,,,,,,,,,,,,,,,,,,,
20193,W,F,F13,3/22/1999,M,19024,18837,18837,C17,,,,,,,,,,,,,,,,,,,,,,,,,,,
20202,T,F,F13,3/22/1999,M,19073,19006,19006,C21,,,,20243,,,C11,,,,,,,,,,,,,,,,,,,,
20207,B,M,F13,3/22/1999,M,18924,19087,19087,C23,,,,20189,,,C3,,,,,,,,,,,,,,,,,,,,
20213,B,F,F13,3/22/1999,M,18924,19087,19087,C23,,,,20284,,,C15,,,,,,,,,,,,,,,,,,,,
20217,B,M,F13,3/22/1999,M,19169,18951,18951,C26,,,,20359,,,C21,,,,,,,,,,,,,,,,,,,,
20218,T,M,F13,3/22/1999,M,19169,18951,18951,C26,,,,20261,,,C6,,,,,,,,,,,,,,,,,,,,
