Animal #,C,Sex,Gen.,D.O.B.,Day,Sire,Dam,Nurse,Strain,Dead,Nec.,Mated,To,Toe-Clip,Weaned,Strain
27147,B,M,F16,3/14/2000,Tu,24422,24609,25368,C13-2,,,,28016,,,C88
27164,W,M,F16,3/15/2000,W,24496,24319,24319,C18-2,,,6/21/2000,27449,,,C10
27166,W,F,F16,3/15/2000,W,24496,24319,24319,C18-2,,,6/21/2000,27483,,,C13
27169,B,F,F16,3/15/2000,W,24484,24650,24319,C32-2,,,6/21/2000,27666,,,C24
27173,W,F,F16,3/15/2000,W,24484,24650,24650,C32-2,,,6/21/2000,27735,,,C28
27175,B,M,F16,3/15/2000,W,24484,24650,24650,C32-2,,,6/21/2000,27319,,,C4
27180,B,F,F16,3/15/2000,W,24496,24319,24650,C18-2,,,6/21/2000,27534,,,C14
27187,B,M,F16,3/16/2000,Th,24616,24542,24364,C29-2,,,6/21/2000,27398,,,C6
27188,B,F,F16,3/16/2000,Th,24616,24542,24364,C29-2,,,6/21/2000,27329,,,C5
27206,T,F,F16,3/16/2000,Th,24528,24489,24489,C21-2,,,6/21/2000,27626,,,C18
27243,B,F,F16,3/17/2000,F,24345,24580,24580,C10,,,,27793,,,C63
27245,T,F,F16,3/17/2000,F,24326,24418,24580,C1-2,,,,27448,,,C86
27246,T,M,F16,3/17/2000,F,24326,24418,24580,C1-2,,,6/21/2000,27676,,,C20
27301,W,F,F16,3/19/2000,Su,24538,24697,24697,C38-2,,,6/21/2000,27549,,,C15
27303,W,F,F16,3/19/2000,Su,24538,24697,24697,C38-2,,,6/21/2000,27465,,,C11
27306,W,F,F16,3/19/2000,Su,25026,24469,24469,C55-2,,,6/21/2000,27658,,,C23
27319,T,F,F16,3/19/2000,Su,24969,24659,24983,C47-2,,,6/21/2000,27175,,,C4
27326,W,M,F16,3/20/2000,M,24969,24659,24659,C47-2,,,6/21/2000,27716,,,C26
27329,W,M,F16,3/20/2000,M,24969,24659,24659,C47-2,,,6/21/2000,27188,,,C5
27398,T,F,F16,3/24/2000,F,24613,25109,24959,C58-2,,,6/21/2000,27187,,,C6
27399,T,M,F16,3/24/2000,F,24613,25109,24959,C58-2,,,6/21/2000,27599,,,C16
27403,T,F,F16,3/24/2000,F,24613,25109,25109,C58-2,,,6/21/2000,27669,,,C25
27409,B,M,F16,3/24/2000,F,24583,24959,25109,C43-2,,,6/21/2000,27485,,,C12
27416,B,M,F16,3/26/2000,Su,25317,25073,25073,C71-2,,,6/21/2000,27623,,,C17
27445,B,F,F16,3/27/2000,M,25005,24985,24421,C53-2,,,6/21/2000,27639,,,C19
27448,B,M,F16,3/27/2000,M,25005,24985,24421,C53-2,,,6/21/2000,27656/ 27245,,,C21/86
27449,B,F,F16,3/27/2000,M,25005,24985,24985,C53-2,,,6/21/2000,27164,,,C10
27465,B,M,F16,3/28/2000,Tu,24603,24550,24550,C27-2,,,6/21/2000,27303,,,C11
27473,B,F,F16,3/30/2000,Th,24988,24655,24655,C51-2,,,6/21/2000,27788,,,C38
27475,W,M,F16,3/30/2000,Th,24491,25129,24655,C62-2,,,6/21/2000,27748,,,C29
27479,W,F,F16,3/30/2000,Th,24491,25129,25129,C62-2,,,6/21/2000,27806,,,C40
27483,W,M,F16,3/30/2000,Th,24491,25129,25129,C62-2,,,6/21/2000,27166,,,C13
27485,B,F,F16,3/30/2000,Th,24988,24655,25129,C51-2,,,6/21/2000,27409,,,C12
27486,B,M,F16,3/30/2000,Th,24988,24655,25129,C51-2,,,6/21/2000,27664,,,C22
27518,B,M,F16,4/3/2000,M,24367,24408,24408,C2-2,,,6/21/2000,27823,,,C34
27529,W,F,F16,4/3/2000,M,24367,24408,25375,C2-2,,,6/21/2000,27803,,,C39
27534,B,M,F16,4/4/2000,Tu,24576,24521,24521,C26-2,,,6/21/2000,27180,,,C14
27535,B,F,F16,4/4/2000,Tu,24576,24521,24521,C26-2,,,6/21/2000,27755,,,C31
27539,B,M,F16,4/4/2000,Tu,24461,24339,24521,C37-2,,,6/21/2000,27813,,,C35
27543,B,F,F16,4/4/2000,Tu,24461,24339,24339,C37-2,,,6/21/2000,27759,,,C32
27549,B,M,F16,4/4/2000,Tu,24576,24521,24521,C26-2,,,6/21/2000,27301,,,C15
27578,W,F,F16,4/5/2000,W,24330,24570,24570,C8-2,,,6/21/2000,27718,,,C27
27585,W,F,F16,4/5/2000,W,24409,24597,24597,C11-2,,,7/13/2000,27178,,,C58
27595,W,F,F16,4/5/2000,W,24478,24504,24504,C17-2,,,7/13/2000,27973,,,C48
27599,W,F,F16,4/5/2000,W,24409,24597,24504,C11-2,,,6/21/2000,27399,,,C16
27623,B,F,F16,4/6/2000,Th,24441,24415,24415,C4-2,,,6/21/2000,27416,,,C17
27626,W,M,F16,4/6/2000,Th,24441,24415,24415,C4-2,,,6/21/2000,27206,,,C18
27633,B,F,F16,4/6/2000,Th,24528,24489,24415,C21-2/2,,,6/28/2000,27765,,,C42
27635,B,M,F16,4/6/2000,Th,24528,24489,24489,C21-2/2,,,6/21/2000,27758,,,C30
27639,W,M,F16,4/6/2000,Th,24441,24415,24489,C4-2,,,6/21/2000,27445,,,C19
27658,B,M,F16,4/7/2000,F,24450,24497,24497,C14-2,,,6/21/2000,27306,,,C23
27663,B,M,F16,4/7/2000,F,24568,24350,24497,C25-2,,,6/29/2000,27949,,,C47
27664,B,F,F16,4/7/2000,F,24568,24350,24497,C25-2,,,6/21/2000,27486,,,C22
27666,B,M,F16,4/7/2000,F,24568,24350,24350,C25-2,,,6/21/2000,27169,,,C24
27669,W,M,F16,4/7/2000,F,24966,24476,24350,C46-2,,,6/21/2000,27403,,,C25
