Animal #,C,Sex,Gen.,D.O.B.,Day,Sire,Dam,Nurse,Strain,Dead,Nec.,Mated,To,Toe-Clip,Weaned,Strain
4571,white,F,F5,11/5/1996,Tu,2549,2538,2538,C1-5,,4/2/1997,2/3/1997,4919,8214-8217*,35542,C1-7
4573,white,M,F5,11/5/1996,Tu,2549,2538,2538,C1-5,,3/26/1997,2/3/1997,4715,6941-6951,35490,C1-1
4585,white,F,F5,11/5/1996,Tu,2561,2291,2291,C1-6,,3/26/1997,2/3/1997,4688,6952-6959,35508,C1-2
4589,black,M,F5,11/5/1996,Tu,2561,2291,2291,C1-6,,3/31/1997,2/3/1997,4900,6876-6883,35507,C1-3
4590,white,F,F5,11/5/1996,Tu,2561,2291,2291,C1-6,,3/28/1997,2/4/1997,5113,7012-7023,35508,C1-21
4639,white,F,F5,11/6/1996,W,2401,2215,2215,C1-1,,3/26/1997,2/7/1997,5507,7136-7146,35509,C1-25
4640,tan,M,F5,11/6/1996,W,2401,2215,2215,C1-1,,3/21/1997,2/4/1997,5070,7348-7356*,35505,C1-8
4688,tan,M,F5,11/6/1996,W,2571,2639,2639,C1-12,,3/26/1997,2/3/1997,4585,6952-6959,35508,C1-2
4691,white,F,F5,11/6/1996,W,2571,2639,2639,C1-12,,3/26/1997,2/3/1997,4823,6972-6982,35508,C1-4
4715,white,F,F5,11/6/1996,W,2566,2409,2409,C1-7,,3/28/1997,2/3/1997,4573,6941-6951,35508,C1-1
4716,white,M,F5,11/6/1996,W,2566,2409,2409,C1-7,,3/28/1997,2/4/1997,5018,7207-7216,35509,C1-9
4717,tan,M,F5,11/6/1996,W,2536,2698,2698,C1-18,,4/1/1997,4/2/1997,5621,4508-4518,35517,C1-33
4718,black,F,F5,11/6/1996,W,2536,2698,2698,C1-18,,?,2/4/1997,4987,7557-7568,35505,C1-14
4719,black,M,F5,11/6/1996,W,2536,2698,2698,C1-18,,4/2/1997,2/4/1997,5041,7539-7545,35518,C1-10
4823,black,M,F5,11/7/1996,Th,2393,2519,2519,C1-3,,3/24/1997,2/3/1997,4691,6972-6981,35508,C1-4
4826,tan,F,F5,11/7/1996,Th,2393,2519,2519,C1-3,,3/17/1997,2/3/1997,4909,6750-6755,35505,C1-6
4828,white,M,F5,11/7/1996,Th,2407,2569,2569,C1-4,,3/28/1997,2/4/1997,5007,7313-7320,35510,C1-11
4831,white,F,F5,11/7/1996,Th,2407,2569,2569,C1-4,,3/17/1997,2/3/1997,4887,6738-6749,35505,C1-5
4833,white,F,F5,11/7/1996,Th,2407,2569,2569,C1-4,,3/26/1997,2/4/1997,5058,6989-6993,35508,C1-17
4887,white,M,F5,11/7/1996,Th,2663,2613,2613,C1-17,,3/24/1997,2/3/1997,4831,6738-6749,35505,17-1
4889,tan,F,F5,11/7/1996,Th,2663,2613,2613,C1-17,,4/1/1997,2/4/1997,5050,7217-7226,35509,C1-16
4900,tan,F,F5,11/7/1996,Th,2678,2679,2679,C1-20,,,2/3/1997,4589,6876-6883,35507,C1-3
4909,tan,M,F5,11/7/1996,Th,2678,2679,2679,C1-20,,,2/3/1997,4826,6750-6755,35505,C1-6
4914,tan,M,F5,11/7/1996,Th,2624,2718,2718,C1-25,,4/1/1997,2/10/1997,5588,7399-7411,35512,C1-32
4915,tan,F,F5,11/7/1996,Th,2624,2718,2718,C1-25,,4/2/1997,2/14/1997,5765,7529-7538,35517,C1-40
4917,tan,F,F5,11/7/1996,Th,2624,2718,2718,C1-25,,,2/4/1997,4970,6888-6897,35507,C1-13
4919,black,M,F5,11/7/1996,Th,2700,2380,2380,C1-22,,4/25/1997,2/3/1997,4571,8214-8217*,35542,C1-7
4921,black,F,F5,11/7/1996,Th,2700,2380,2380,C1-22,,3/28/1997,2/4/1997,5084,7006-7011,35508,C1-19
4939,black,M,F5,11/7/1996,Th,2759,2706,2706,C1-30,,3/21/1997,2/7/1997,5510,7357-7369,35512,C1-31
4940,black,F,F5,11/7/1996,Th,2759,2706,2706,C1-30,,4/2/1997,2/10/1997,5572,7471-7478,35516,C1-31
4970,black,M,F5,11/8/1996,F,2287,2665,2665,C1-10,,3/28/1997,2/4/1997,4917,6888-6897,35507,C1-13
4974,white,F,F5,11/8/1996,F,2287,2665,2665,C1-10,,4/2/1997,2/12/1997,5619,7479-7487,35496,C1-36
4976,black,M,F5,11/8/1996,F,2287,2665,2665,C1-10,11/29/1996,3/28/1997,2/4/1997,5111,7227-7236,35509,C1-20
4987,white,M,F5,11/8/1996,F,2548,2628,2628,C1-11,,4/2/1997,2/4/1997,4718,7557-7568,35505,C1-14
4988,white,F,F5,11/8/1996,F,2548,2628,2628,C1-11,,4/2/1997,2/10/1997,5530,7381-7385,35512,C1-27
