26581	hip	hip26581	AIL_RNA3c	4	9.3	299.22	303	34.45	50	45482	45342	119	132	21	0.5	1	2	9/24/2012	30.4	y
26583	hip	hip26583	AIL_RNA6d	15	9.1	370.6	290	25.5	50	45484	45352	98	112	19	0.5	0	2	9/24/2012	35.9	y
26592	hip	hip26592	AIL_RNA7d	23	8.9	277.9	296	21.67	50	45457	45438	99	100	21	0.444444444	0	2	9/24/2012	30.8	y
26595	hip	hip26595	AIL_RNA3b	19	9.2	324.07	311	33.89	50	45393	45425	113	98	21	0.6	1	2	9/24/2012	24.8	y
45497	hip	hip45497	AIL_RNA5d	7	9.3	375.42	294	1.86	50	45301	45371	104	98	21	0.833333333	1	1	9/10/2012	24.5	y
46004	hip	hip46004	AIL_RNA3d	8	9.4	223.92	317	31.06	50	45316	45441	104	83	21	0.888888889	0	1	9/10/2012	28.2	y
46007	hip	hip46007	AIL_RNA2a	1	9	230.14	292	23.88	50	45323	45465	103	84	21	0.5	0	1	9/10/2012	35.8	y
46008	hip	hip46008	AIL_RNA2b	10	9.2	205.1	296	45.18	50	45466	45312	83	105	21	0.444444444	1	1	9/10/2012	21.3	y
46013	hip	hip46013	AIL_RNA2c	19	9.4	258.15	292	15.63	50	45328	45320	103	106	21	0.75	1	1	9/10/2012	26.2	y
46016	hip	hip46016	AIL_RNA4d	20	9.1	341.34	295	31.92	50	45385	45314	95	103	21	0.545454545	0	1	9/10/2012	41.5	y
46016	hip	hip46016	AIL_RNA5c	20	9.1	341.34	295	31.92	50	45385	45314	95	103	21	0.545454545	0	1	9/10/2012	41.5	y
46027	hip	hip46027	AIL_RNA7b	7	9.3	202.76	279	22.91	50	45397	45364	95	96	21	0.5	0	1	9/10/2012	29.1	y
46127	hip	hip46127	AIL_RNA4a	23	9.4	301.68	290	23.79	50	45389	45384	97	97	21	0.571428571	1	1	9/11/2012	22.2	y
46128	hip	hip46128	AIL_RNA9b	10	8.5	337.19	281	9.31	50	45322	45303	106	106	21	0.4	0	2	9/24/2012	43.2	y
46130	hip	hip46130	AIL_RNA8d	10	9.2	232.4	288	14.68	50	45311	45447	106	85	21	0.666666667	0	1	9/11/2012	36.7	y
46134	hip	hip46134	AIL_RNA6b	7	9.3	259.45	300	16.89	50	45360	45464	98	84	21	0.5	0	1	9/11/2012	34.7	y
46141	hip	hip46141	AIL_RNA9a	19	9.1	233.1	293	29.69	50	45463	45450	86	85	21	0.727272727	1	1	9/11/2012	22.5	y
46142	hip	hip46142	AIL_RNA6d	10	9.2	316.66	293	33.92	50	45398	45488	97	69	21	0.25	0	1	9/11/2012	29.3	y
46145	hip	hip46145	AIL_RNA3a	3	9.3	153.24	293	25.23	50	45475	45370	97	69	21	0.25	1	1	9/11/2012	24	y
46153	hip	hip46153	AIL_RNA7c	6	9.3	380.19	288	31.93	50	45333	45416	104	97	21	0.625	1	1	9/11/2012	23.8	y
46154	hip	hip46154	AIL_RNA6d	11	9.2	292.17	294	22.23	50	45334	45339	106	106	21	0.625	0	1	9/11/2012	25.4	y
46157	hip	hip46157	AIL_RNA8a	22	9.1	151.8	209	6.73	50	45335	45377	108	102	21	0.666666667	1	2	9/24/2012	25.1	y
46341	hip	hip46341	AIL_RNA7b	16	9.1	201.26	289	23.67	50	45417	45358	111	111	21	0.625	1	2	9/24/2012	20	y
46372	hip	hip46372	AIL_RNA7b	27	8.8	271.15	307	11.95	50	45455	45480	100	99	21	0.4	0	2	9/24/2012	36.8	y
46429	hip	hip46429	AIL_RNA9a	7	8.4	332.98	289	16.58	50	45476	45330	105	127	21	0.625	1	3	10/10/2012	28.9	y
46434	hip	hip46434	AIL_RNA9b	5	8.8	163.13	290	11.56	50	45461	45387	115	124	21	0.538461538	0	3	10/10/2012	26.8	y
