sex cpp.age
1 50
1 47
0 53
1 57
1 47
0 46
0 57
1 51
0 50
1 54
0 58
0 51
1 47
1 54
0 47
1 55
1 47
1 53
1 48
0 58
1 50
0 52
1 47
1 48
1 51
0 47
0 47
0 58
0 48
1 48
1 54
1 49
0 49
0 48
0 49
0 47
0 50
0 47
1 57
0 57
0 50
0 63
1 57
1 50
0 51
1 47
1 53
1 53
1 54
0 53
0 53
1 47
1 48
0 49
1 55
1 47
1 53
0 47
0 55
1 50
1 48
1 58
1 55
0 47
1 66
1 53
0 50
1 53
0 47
0 57
1 47
1 58
0 49
1 49
0 50
1 53
1 54
0 49
1 55
1 47
0 54
1 47
1 58
1 49
1 58
0 54
0 54
0 57
1 58
0 47
0 49
1 47
1 58
0 48
1 50
0 55
1 57
0 54
0 48
0 55
1 57
0 58
0 53
0 49
1 52
0 47
0 50
0 53
0 62
0 55
1 48
0 48
0 55
1 48
1 49
0 50
1 47
1 58
1 48
1 49
0 52
0 49
0 47
1 48
1 49
0 52
0 48
0 57
0 52
1 53
0 54
0 58
1 50
1 52
1 45
1 50
1 53
1 57
0 57
0 101
1 71
1 50
0 54
1 77
1 50
1 67
0 62
0 67
0 50
1 90
1 49
0 62
0 51
1 52
0 48
0 55
1 54
1 59
0 54
0 61
0 53
1 71
1 88
1 69
0 63
1 62
1 56
1 66
0 58
0 69
1 55
0 59
1 60
0 53
0 68
1 60
1 63
1 53
1 52
0 61
0 52
1 74
0 74
0 53
1 98
1 55
0 77
0 59
0 54
0 67
1 54
0 84
1 54
1 101
1 52
0 54
1 54
0 54
1 54
1 65
1 53
0 49
0 62
0 62
1 53
1 54
0 60
1 56
0 68
1 51
0 56
0 64
0 53
0 49
0 67
1 54
0 57
1 49
1 53
1 67
0 53
1 68
0 53
0 61
0 61
1 53
1 62
0 56
1 54
0 67
1 50
1 64
1 56
0 50
0 60
1 54
1 50
0 61
1 48
0 54
0 52
0 67
1 54
0 74
1 52
1 62
0 48
0 51
0 47
0 50
0 58
1 48
0 47
1 50
0 48
0 53
0 57
0 49
0 50
0 49
1 63
1 47
1 57
1 49
0 49
1 48
0 47
1 46
0 48
1 49
0 66
0 52
0 47
1 58
1 52
0 50
1 49
1 54
1 47
1 55
0 58
0 47
1 55
1 47
1 50
1 56
0 47
0 45
0 49
0 57
1 51
0 70
1 49
0 61
1 53
0 59
1 54
0 61
1 52
0 68
1 53
1 52
1 52
1 53
1 57
1 53
1 54
1 53
0 57
0 53
1 53
1 75
1 70
0 54
1 50
1 49
0 53
1 75
0 66
1 54
1 39
1 68
0 61
1 53
1 54
1 70
1 75
1 54
0 61
1 54
1 54
0 68
0 52
1 53
1 61
1 49
0 54
1 45
0 50
0 52
0 54
0 63
0 61
1 51
0 50
1 NA
0 62
0 67
0 53
1 61
1 71
1 50
0 54
1 62
0 54
0 63
1 53
1 63
0 54
1 53
1 61
0 56
1 100
0 60
0 52
0 63
0 75
1 53
0 98
0 73
1 52
0 55
1 52
0 53
1 63
1 66
0 48
1 84
1 58
1 56
0 60
1 49
0 53
0 59
0 88
1 63
0 52
0 54
0 53
0 44
1 NA
0 63
0 53
0 49
0 52
1 66
1 98
0 49
1 52
0 50
0 55
0 68
0 66
1 76
0 89
1 52
1 61
1 73
0 62
1 66
1 56
0 53
0 45
0 57
0 63
0 50
0 54
0 70
0 53
1 52
1 51
0 52
0 52
0 73
0 55
1 63
0 66
0 65
1 59
0 54
0 84
1 50
0 53
0 55
1 49
1 48
0 49
1 61
0 57
1 50
1 69
1 63
0 52
1 61
1 54
1 49
1 60
0 48
0 53
1 61
0 46
1 57
0 68
0 53
0 53
0 54
0 62
0 53
0 65
1 54
0 54
0 52
0 58
0 48
0 69
0 66
0 50
0 60
0 75
0 54
1 61
0 52
0 68
0 71
1 53
1 54
0 51
0 53
0 55
0 54
0 66
0 46
0 75
1 66
1 54
1 54
0 57
1 76
0 46
0 60
0 92
0 55
1 52
0 53
0 53
0 60
0 52
0 66
0 50
1 53
1 63
0 49
0 54
1 66
0 61
1 62
1 53
1 54
0 72
1 60
1 57
1 48
0 52
1 62
0 60
1 52
1 68
0 52
1 59
1 53
1 69
0 51
1 66
0 77
1 54
0 50
0 52
1 51
1 54
1 50
0 52
1 54
0 66
0 78
1 52
1 48
0 74
0 56
0 55
1 55
1 52
0 54
0 53
0 54
0 49
1 66
0 52
1 52
0 76
0 94
1 58
1 71
0 56
0 68
1 52
0 69
1 57
1 72
1 53
0 55
0 45
0 56
0 54
1 54
0 75
0 52
0 50
0 69
1 68
0 61
1 50
1 78
1 101
0 43
1 68
1 56
1 59
0 54
1 52
1 52
1 54
1 53
1 84
1 62
1 54
1 53
0 54
0 48
1 54
1 54
1 63
0 50
0 62
0 53
1 49
0 61
1 61
0 52
0 75
0 52
0 98
1 53
0 51
1 52
1 54
1 69
0 53
1 54
1 60
1 52
0 52
1 49
0 59
1 55
0 65
0 50
0 67
1 63
1 52
0 75
0 98
1 57
1 105
0 63
0 35
1 49
1 61
1 53
0 59
0 54
0 55
1 70
1 40
0 55
0 53
1 57
0 56
0 56
0 54
0 61
0 55
0 61
1 51
1 77
0 54
0 62
1 52
0 45
0 63
0 67
1 64
0 52
0 55
1 51
1 56
0 54
1 61
1 61
1 57
0 53
0 71
0 63
1 66
0 55
1 62
1 67
1 56
1 57
1 50
1 54
0 56
0 54
0 51
0 52
1 53
1 54
0 53
0 59
1 51
1 49
0 69
0 70
0 63
0 51
0 51
1 52
1 48
1 64
0 59
1 56
0 63
0 53
1 63
0 50
1 54
1 52
0 54
0 57
1 88
1 55
0 53
0 59
1 49
0 61
0 71
1 46
1 72
0 62
1 63
1 62
0 63
0 54
0 53
0 52
0 52
0 62
0 50
0 57
0 63
1 52
1 52
1 52
0 90
1 94
1 74
1 75
1 54
1 55
0 52
1 54
0 52
0 55
0 54
0 52
1 63
0 64
0 53
1 52
1 69
0 76
1 55
0 78
0 54
0 57
0 53
0 68
1 56
0 52
0 58
1 60
0 57
1 61
1 54
1 52
1 98
0 53
0 53
1 53
0 54
1 69
1 76
1 48
0 53
1 54
1 61
1 53
1 69
1 53
0 70
0 54
1 54
1 68
1 54
1 61
1 75
0 75
1 53
1 60
0 52
1 52
1 58
1 70
1 52
0 51
1 53
0 54
1 50
1 53
1 50
1 53
0 54
1 53
0 50
1 57
1 67
0 NA
1 60
1 64
0 54
1 66
1 54
0 56
1 55
1 54
1 56
1 50
1 53
1 50
1 67
0 49
0 57
1 51
1 58
1 68
1 101
1 46
0 54
1 52
1 60
0 54
0 50
0 49
1 62
1 54
0 66
1 60
1 52
0 66
1 66
1 65
0 54
1 63
1 53
1 63
0 61
0 60
1 75
1 52
1 74
0 68
0 53
1 NA
0 NA
1 54
0 48
0 53
0 53
1 75
0 49
1 56
1 60
1 53
1 53
1 64
1 59
0 61
1 56
0 73
1 52
1 55
0 63
1 53
1 50
1 56
1 57
1 51
1 62
1 54
1 73
0 68
0 50
0 52
1 63
0 75
0 48
0 54
0 78
1 52
1 61
1 56
0 66
0 88
1 50
