one	id	gen	cc	fam	dam	sire	dam.age	sire.age	wean.age	mf.ratio	dob	cage	sex	batch	cpp.date	ppi.date	glu.date	rip.date	cpp.mo	ppi.mo	glu.mo	rip.mo	cpp.age	cpp.box	d1.weight	d1.fb	d2.weight	d2.fb	d3.weight	d3.fb	d4.weight	d4.fb	d5.weight	d5.fb	d8.weight	d8.fb	comerr1	comerr2	comerr3	comerr4	comerr5	comerr8	rm.act4	glu.age	glu.weight	rip.age	rip.weight	brain	ppi.age	ppi.weight	ppi.box	deaf	is.gen50	is.gen51	is.gen52	is.gen53	is.gen54	is.gen55	is.gen56	is.coatA	is.coatB	is.coatW	is.batch1	is.batch2	is.batch3	is.batch4	is.batch5	is.batch6	is.batch7	is.batch8	is.batch9	is.batch10	is.batch11	is.batch12	is.batch13	is.batch14	is.batch15	is.batch16	is.batch17	is.batch18	is.batch19	is.batch20	is.batch21	is.batch22	is.cpp.box1	is.cpp.box2	is.cpp.box3	is.cpp.box4	is.cpp.box5	is.cpp.box6	is.cpp.box7	is.cpp.box8	is.cpp.box9	is.cpp.box10	is.cpp.box11	is.cpp.box12	is.ppi.box1	is.ppi.box2	is.ppi.box3	is.ppi.box4	is.ppi.box5
1	26580	50	AGR	BrF49-36	45482	45342	95	112	21	0.555555556	7/3/2012	TestF50-18	0	2	8/27/2012	9/12/2012	9/19/2012	9/24/2012	Aug	Aug	Sep	Sep	55	5	29.6	3	28.7	0	28.2	2	27.8	0	28.2	7	27.7	5	0	0	0	0	0	0	0	78	30.4	83	31.8	n	71	30.3	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
1	26581	50	AGL	BrF49-36	45482	45342	119	132	21	0.5	7/3/2012	TestF50-17	1	2	8/27/2012	9/12/2012	9/19/2012	9/24/2012	Aug	Aug	Sep	Sep	55	1	27.7	2	28.1	0	28	5	28.6	3	27.7	6	28.7	6	0	0	0	0	0	0	0	78	33	83	30.4	y	71	32.4	1	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1	26582	50	AGR	BrF49-37	45484	45352	95	112	21	0.555555556	7/6/2012	TestF50-17	1	2	8/27/2012	9/12/2012	9/19/2012	9/24/2012	Aug	Aug	Sep	Sep	52	2	29	0	29	0	29	2	29.3	0	28.9	1	30.1	4	0	0	0	0	0	0	0	75	33.2	80	33.7	n	68	33	2	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1	26583	50	AGL	BrF49-37	45484	45352	98	112	19	0.5	7/6/2012	TestF50-18	0	2	8/27/2012	9/12/2012	9/19/2012	9/24/2012	Aug	Aug	Sep	Sep	52	6	25.8	0	26.4	0	26.4	4	26.6	0	26.7	5	28	4	0	0	0	0	0	0	0	75	33.4	80	35.9	y	68	32.3	2	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
1	26584	50	BR	BrF49-38	45485	45355	98	113	20	0.5	7/6/2012	TestF50-18	0	2	8/27/2012	9/12/2012	9/19/2012	9/24/2012	Aug	Aug	Sep	Sep	52	7	30.6	2	30.5	0	30.3	2	29.4	0	29.2	3	29.5	4	0	0	0	0	0	0	0	75	32.8	80	33.4	n	68	32.4	3	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
1	26585	50	AGR	BrF49-38	45485	45355	98	113	20	0.5	7/6/2012	TestF50-19	1	2	8/27/2012	9/12/2012	9/19/2012	9/24/2012	Aug	Aug	Sep	Sep	52	1	21.7	2	22.5	1	22	4	22.3	1	22.6	6	24.1	4	0	0	0	0	0	0	0	75	26.8	80	25.7	n	68	26	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1	26586	50	BL	BrF49-39	45359	45357	111	110	21	0.363636364	7/4/2012	TestF50-18	0	2	8/27/2012	9/12/2012	9/19/2012	9/24/2012	Aug	Aug	Sep	Sep	54	8	22.9	2	23.9	0	23.6	2	23.2	0	23.3	5	24.1	4	0	0	0	0	0	0	0	77	25.9	82	27.5	n	70	26.1	4	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
1	26587	50	BR	BrF49-39	45359	45357	111	110	21	0.363636364	7/4/2012	TestF50-17	1	2	8/27/2012	9/12/2012	9/19/2012	9/24/2012	Aug	Aug	Sep	Sep	54	3	21.1	4	21.6	2	21.3	3	21.7	2	20.2	1	21.7	7	0	0	0	0	0	0	0	77	23.4	82	22.3	n	70	22.8	3	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1	26588	50	BL	BrF49-41	45353	45426	111	98	21	0.363636364	7/5/2012	TestF50-17	1	2	8/27/2012	9/12/2012	9/19/2012	9/24/2012	Aug	Aug	Sep	Sep	53	4	22.5	4	22.9	0	23	4	22.6	0	22.3	4	23.4	2	0	0	0	0	0	0	0	76	26.2	81	25.5	n	69	25.5	4	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
1	26589	50	BR	BrF49-41	45353	45426	111	98	21	0.363636364	7/5/2012	TestF50-20	0	2	8/27/2012	9/12/2012	9/19/2012	9/24/2012	Aug	Aug	Sep	Sep	53	5	26.2	2	26	0	25.7	4	25.5	0	25.2	6	26.6	5	0	0	0	0	0	0	0	76	28.5	81	29.1	n	69	28.8	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
1	26590	50	BR	BrF49-44	45382	45479	110	97	21	0.75	7/4/2012	TestF50-19	1	2	8/27/2012	9/12/2012	9/19/2012	9/24/2012	Aug	Aug	Sep	Sep	54	2	21.7	1	21.5	0	21.1	4	20.6	0	20.6	3	21.3	3	0	0	0	0	0	0	0	77	21.3	82	20.9	n	70	22.3	2	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1	26591	50	AGR	BrF49-44	45382	45479	110	97	21	0.75	7/4/2012	TestF50-20	0	2	8/27/2012	9/12/2012	9/19/2012	9/24/2012	Aug	Aug	Sep	Sep	54	6	25.2	2	24.8	0	25	6	24.8	0	24.6	5	25.6	9	0	0	0	0	0	0	0	77	27.6	82	27.2	n	70	27.7	2	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
1	26592	50	BL	BrF49-46	45457	45438	99	100	21	0.444444444	7/4/2012	TestF50-20	0	2	8/27/2012	9/12/2012	9/19/2012	9/24/2012	Aug	Aug	Sep	Sep	54	7	26	5	26.8	0	27.5	6	28.2	0	28.8	7	30.4	3	0	0	0	0	0	0	0	77	30.3	82	30.8	y	70	30.4	3	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
1	26593	50	BL	BrF49-46	45457	45438	99	100	21	0.444444444	7/4/2012	TestF50-19	1	2	8/27/2012	9/12/2012	9/19/2012	9/24/2012	Aug	Aug	Sep	Sep	54	3	18.6	7	18.6	1	18.3	4	18.9	0	18.5	4	19.8	9	0	0	0	0	0	0	0	77	25.2	82	24.1	n	70	22.9	3	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1	26594	50	WR	BrF49-55	45393	45425	113	98	21	0.6	7/4/2012	TestF50-20	0	2	8/27/2012	9/12/2012	9/19/2012	9/24/2012	Aug	Aug	Sep	Sep	54	8	25	7	25	0	25.3	5	25.2	0	25.3	5	26.2	3	0	0	0	0	0	0	0	77	28.5	82	29.6	n	70	28.4	4	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
1	26595	50	WR	BrF49-55	45393	45425	113	98	21	0.6	7/4/2012	TestF50-19	1	2	8/27/2012	9/12/2012	9/19/2012	9/24/2012	Aug	Aug	Sep	Sep	54	4	22.8	0	22.8	0	22.7	8	23.7	0	23.5	8	24.7	0	0	0	0	0	0	0	0	77	25.8	82	24.8	y	70	26.2	4	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
1	45493	50	WR	BrF49-82	45467	45471	112	111	21	0.5	7/19/2012	TestF50-33	1	3	9/14/2012	9/25/2012	10/2/2012	10/10/2012	Sep	Sep	Oct	Oct	57	4	17.4	4	17.8	0	18.2	5	18.1	0	17.8	6	18	2	0	0	0	0	0	0	0	75	19.3	83	19.7	n	68	19.3	4	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
1	45494	50	WR	BrF49-82	45467	45471	112	111	21	0.5	7/19/2012	TestF50-36	0	3	9/14/2012	9/25/2012	10/2/2012	10/11/2012	Sep	Sep	Oct	Oct	57	7	27.1	1	27.7	0	28.1	8	28.6	0	28.5	5	28.9	7	0	0	0	0	0	0	0	75	28.6	84	29.7	y	68	28.6	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
