sex cpp.age
0 53
0 55
1 49
1 48
0 47
1 48
1 47
0 47
1 57
0 47
1 48
1 48
0 58
0 47
0 49
1 50
1 50
1 48
0 55
0 66
1 48
1 55
0 49
0 55
1 55
1 55
0 47
0 47
1 53
0 57
0 58
0 48
1 47
1 54
1 50
0 48
1 50
1 58
0 50
1 63
1 48
0 53
1 48
0 46
1 48
1 58
1 58
0 54
0 49
1 47
1 46
0 47
0 53
1 58
0 47
0 51
0 48
0 48
0 49
0 57
0 47
0 50
1 50
0 48
0 47
1 47
0 50
1 57
0 53
0 52
1 47
0 47
0 58
1 49
1 53
0 57
0 50
0 49
0 50
0 58
1 55
1 57
1 58
0 50
1 55
0 47
1 66
1 49
1 53
0 47
0 55
0 57
0 50
0 58
0 62
1 49
1 52
1 48
0 49
0 51
1 47
0 50
0 49
0 51
0 53
1 58
1 49
0 48
0 48
0 52
0 47
1 47
1 47
1 54
0 58
1 47
0 48
1 53
1 53
1 54
1 58
0 57
1 49
1 50
1 51
1 54
0 49
0 54
0 63
1 50
0 53
1 57
0 57
0 58
1 47
0 49
1 69
0 47
0 54
1 35
0 52
1 54
1 54
0 61
0 94
1 61
1 67
1 52
1 NA
0 62
0 61
0 62
0 54
0 53
0 55
0 75
0 57
1 53
1 54
0 65
0 49
0 62
0 64
1 54
0 61
0 53
0 53
0 54
1 61
0 55
0 48
0 53
0 50
0 40
1 55
1 43
1 50
1 101
1 89
1 53
1 54
0 57
1 63
1 68
1 61
0 74
1 50
0 101
1 61
1 53
1 57
0 63
1 62
1 49
1 61
1 54
1 52
0 56
0 53
1 55
0 55
1 52
0 53
1 73
0 57
0 69
0 54
1 55
1 NA
0 57
0 63
1 52
1 63
0 73
0 56
1 50
0 52
1 53
1 66
1 71
0 54
0 68
0 68
0 54
0 61
0 54
0 50
1 54
0 54
1 54
0 100
0 63
0 67
0 48
1 49
0 62
1 71
0 74
1 54
0 64
1 51
1 56
0 52
1 53
1 49
1 49
1 53
0 52
1 51
0 47
0 49
1 53
0 48
1 52
1 53
1 49
1 47
1 47
1 57
0 48
0 52
0 54
1 49
0 54
1 52
0 54
1 57
0 57
1 58
1 50
0 49
1 50
1 51
1 52
0 45
1 45
1 54
1 55
0 50
1 47
1 54
1 47
0 50
0 52
1 62
0 50
1 57
1 48
0 47
1 47
0 55
1 52
0 49
1 57
0 48
1 52
0 53
1 52
1 54
0 45
0 54
1 61
0 51
0 54
0 61
1 54
0 49
0 92
1 69
1 101
1 62
0 54
1 52
0 75
1 61
0 78
1 70
0 49
0 54
0 52
0 54
1 54
1 70
1 52
1 61
1 75
0 61
0 70
0 73
1 52
0 58
0 53
1 84
0 62
1 105
0 63
0 59
1 54
1 61
0 54
0 55
0 77
1 52
0 49
1 61
0 53
1 60
0 62
0 75
0 51
0 54
1 56
0 59
1 53
0 56
1 56
1 54
0 76
0 54
1 53
0 50
0 55
1 62
1 63
1 63
0 53
0 71
0 66
1 59
0 54
0 52
0 62
0 61
1 75
1 56
1 55
0 54
0 56
1 56
1 60
1 51
0 59
0 54
1 57
1 68
1 51
0 69
0 52
1 54
0 53
1 67
1 71
0 60
0 56
0 52
1 52
1 63
0 63
1 63
1 94
1 59
1 54
0 52
1 57
1 48
0 62
0 67
1 53
0 53
1 55
1 70
0 52
1 58
1 61
0 52
0 57
1 63
0 52
1 59
0 44
0 55
1 50
1 48
0 53
0 55
0 55
0 57
0 70
1 57
1 52
1 62
0 54
1 54
0 53
1 60
1 48
1 52
1 48
0 58
1 52
1 66
1 61
1 55
0 54
1 53
1 52
0 54
1 52
0 75
0 62
1 59
0 52
1 56
0 61
0 98
1 73
1 51
0 62
1 73
0 62
1 58
1 67
0 59
1 52
0 71
0 56
1 69
0 54
0 60
0 52
0 84
0 55
0 72
0 50
1 64
0 68
1 66
1 60
1 60
1 52
0 61
1 61
0 66
0 73
1 52
1 50
0 61
0 53
0 54
1 48
0 68
1 98
0 54
0 61
0 60
1 56
0 54
1 53
0 66
1 55
1 50
0 60
0 53
1 59
0 53
0 59
1 48
1 54
0 68
0 55
0 52
0 52
0 52
1 63
1 54
1 68
1 66
0 49
1 52
1 53
0 52
0 52
0 54
1 69
0 66
0 52
1 57
0 53
0 55
1 60
1 54
1 50
1 60
0 50
0 60
1 88
1 73
1 72
0 51
1 53
1 54
0 59
0 66
0 54
0 53
1 51
1 54
0 51
1 53
1 73
0 53
1 54
1 54
0 68
0 52
0 53
1 75
0 53
1 62
1 54
1 64
0 63
1 74
0 50
0 52
1 53
1 74
0 56
0 56
0 61
1 53
0 49
0 46
1 45
1 53
0 54
0 54
0 53
1 100
1 61
0 56
1 65
0 53
0 61
1 63
1 53
0 63
1 47
0 60
0 53
1 58
0 53
1 69
0 56
0 55
0 68
0 67
0 55
0 55
0 68
1 53
0 58
0 53
0 62
0 54
1 75
1 54
1 49
1 52
1 63
1 66
0 50
1 67
1 48
0 50
1 67
0 66
0 52
0 51
1 50
0 56
1 53
0 53
0 50
1 66
0 53
1 60
1 54
1 53
1 54
1 53
0 51
1 58
0 54
0 56
0 60
0 69
1 63
0 52
1 53
0 49
1 61
0 54
1 53
1 55
1 52
1 59
1 45
1 56
1 64
1 68
0 57
0 55
0 53
1 52
0 69
1 74
0 64
1 52
0 76
1 77
0 50
0 65
0 50
0 54
0 70
0 62
0 53
0 66
0 52
0 52
0 54
1 49
0 49
1 57
1 48
1 52
0 51
1 62
1 54
1 54
0 51
1 51
1 53
1 61
0 51
0 88
1 76
0 55
0 56
1 84
0 55
0 52
0 52
1 54
0 58
1 54
0 70
0 NA
1 75
0 52
1 49
1 62
1 63
1 53
1 54
0 48
0 61
1 49
1 60
1 72
0 74
0 59
0 48
1 78
0 35
0 75
0 63
1 50
0 67
0 52
1 62
0 52
1 39
1 69
0 54
0 56
1 54
0 88
1 59
1 52
0 53
1 54
0 72
1 52
1 60
0 54
0 52
0 52
1 54
0 59
0 63
1 76
0 53
1 53
1 56
0 48
1 74
1 57
1 66
0 50
0 75
0 52
1 50
1 50
0 54
1 60
0 57
0 53
0 101
0 62
0 52
1 56
0 53
1 62
0 46
0 53
1 65
1 52
0 69
1 40
0 53
0 78
0 70
1 63
0 55
0 62
0 53
0 53
0 49
1 53
1 53
1 49
1 56
0 63
0 63
0 66
