sex cpp.age
1 49
0 47
1 46
0 47
0 47
1 47
0 58
1 48
1 45
1 58
1 49
1 49
0 58
0 48
0 51
0 53
1 47
1 52
0 57
1 58
1 51
0 47
0 50
0 47
0 54
0 49
0 55
1 53
1 50
0 58
1 57
1 50
0 49
0 47
1 55
1 51
0 54
1 48
0 45
0 50
1 54
0 55
0 48
1 47
1 55
1 57
0 57
1 49
1 48
0 54
0 51
0 58
1 62
0 50
1 55
1 48
1 47
0 48
0 62
0 48
1 49
0 49
1 52
0 51
1 50
1 55
1 53
0 57
1 53
0 49
1 48
0 50
0 48
1 47
0 47
1 57
1 50
0 47
0 50
0 52
1 49
0 57
1 47
1 53
1 57
1 55
0 49
1 47
0 47
1 63
1 47
0 48
0 48
0 49
1 47
1 50
1 53
0 48
0 49
1 54
0 53
1 58
0 63
0 54
1 53
1 50
1 47
0 47
0 53
0 55
0 58
1 51
1 53
1 49
0 58
1 48
0 47
1 52
1 48
0 52
0 50
1 57
1 55
0 49
1 49
0 47
1 48
1 48
0 57
1 47
1 47
1 54
0 48
1 53
0 47
1 54
1 84
0 52
0 56
0 73
1 59
0 53
1 70
0 64
0 NA
1 74
1 54
0 52
0 62
1 53
1 54
1 76
1 90
1 53
1 52
0 54
0 71
0 89
0 49
0 53
0 51
0 61
0 68
0 52
1 68
1 50
1 56
0 53
0 53
0 54
0 52
0 75
1 56
1 61
0 52
0 57
1 54
1 51
1 53
1 49
0 61
1 88
0 54
0 66
0 45
1 61
0 92
1 71
0 68
0 53
1 68
1 53
1 48
0 75
1 53
1 73
1 66
1 59
0 70
0 60
1 57
0 62
0 52
1 75
0 57
1 61
1 66
0 54
0 61
0 50
0 60
0 60
0 49
1 69
0 64
1 63
1 54
1 50
1 54
0 66
1 52
0 56
1 56
1 55
0 62
1 55
0 53
0 46
1 65
0 60
1 52
0 53
1 101
1 54
0 63
1 62
0 54
1 56
1 59
1 67
0 53
1 52
0 77
1 66
0 53
0 52
1 50
1 66
0 47
1 58
1 49
0 49
0 47
1 58
0 55
0 50
1 50
0 47
0 47
0 52
1 47
0 57
0 48
1 58
0 55
1 48
1 47
1 57
1 58
0 50
0 53
0 49
0 58
0 54
1 47
1 50
0 50
1 57
1 48
0 50
0 49
0 46
0 53
1 54
1 49
0 59
1 54
0 66
1 52
1 58
0 57
1 54
0 49
1 59
0 69
0 69
1 58
0 63
0 54
1 53
1 52
1 53
1 76
1 51
0 54
0 52
1 53
1 60
1 52
1 52
1 49
0 48
1 66
1 60
1 56
1 54
1 63
1 NA
1 59
1 63
0 50
0 57
0 53
0 78
1 53
1 62
1 49
1 43
0 57
0 54
0 57
0 53
1 53
1 57
1 61
0 51
0 54
0 52
1 52
1 54
0 51
0 53
1 56
0 67
0 98
1 57
1 50
1 75
0 54
0 52
0 54
0 52
1 54
1 53
1 40
0 69
0 57
1 53
1 54
0 53
1 49
0 61
1 53
1 62
1 69
0 48
1 61
0 52
0 57
0 57
1 50
1 56
0 62
1 52
1 52
0 51
1 62
0 64
0 58
0 78
1 68
1 63
1 50
0 48
1 62
0 54
1 56
1 54
1 59
1 54
1 55
1 75
0 59
0 55
0 63
1 52
1 55
0 55
0 63
1 54
1 54
0 54
0 56
0 61
0 53
1 63
0 67
0 66
0 53
0 52
0 54
1 52
0 72
0 54
1 53
1 60
1 45
0 73
0 58
1 60
0 50
1 52
0 52
1 56
0 53
1 54
1 50
0 63
0 54
1 52
1 69
0 52
1 53
0 53
1 54
1 55
0 68
1 66
0 67
0 60
0 56
0 61
1 53
1 52
1 71
1 54
0 50
0 54
1 61
0 68
0 56
0 53
1 55
1 60
1 58
1 56
0 54
1 54
0 53
1 NA
0 52
1 53
0 101
0 63
1 98
0 54
0 52
1 63
0 53
0 54
0 52
1 77
0 70
0 70
0 68
0 50
0 56
0 53
0 50
1 61
0 53
1 53
1 54
0 55
1 51
1 56
1 69
1 46
0 53
0 61
0 53
0 54
1 53
1 51
1 54
0 62
1 53
1 57
0 49
1 52
1 64
0 63
0 68
1 39
0 57
1 54
0 70
0 53
1 54
1 61
1 52
1 55
1 66
0 88
0 52
0 50
1 56
1 53
1 53
1 53
0 60
1 49
0 54
0 53
1 73
1 54
0 59
0 63
1 55
0 52
1 53
0 61
1 52
0 56
0 49
0 45
0 68
1 35
1 73
0 50
0 52
0 50
0 54
1 50
0 90
0 52
0 69
0 49
0 54
0 71
0 55
1 52
1 50
1 55
0 76
1 98
1 61
1 52
0 62
1 63
0 52
1 61
1 67
0 49
1 52
1 53
0 44
1 52
1 54
0 61
0 68
0 53
1 50
1 70
0 53
0 55
1 60
1 61
1 53
1 77
1 63
1 52
1 61
1 54
1 62
0 63
1 61
1 47
0 59
0 55
0 72
1 57
1 57
1 66
1 65
0 52
0 88
0 71
1 59
1 52
0 61
1 57
0 46
0 52
0 75
1 67
1 52
0 56
0 98
1 48
1 48
1 57
0 52
1 53
1 59
0 68
1 53
0 66
1 50
0 54
1 61
1 63
0 62
1 62
1 49
0 50
1 53
1 54
1 66
0 50
0 52
0 62
0 62
1 53
0 75
1 53
0 53
1 75
0 68
1 63
1 50
0 59
1 63
0 67
1 94
0 57
0 53
0 59
1 55
1 57
0 60
1 54
1 89
1 63
1 52
0 52
1 98
1 52
1 62
1 63
1 55
1 52
0 61
1 54
0 52
0 55
0 56
0 63
1 50
0 54
0 52
0 61
1 57
1 84
0 49
1 53
0 100
1 54
1 46
1 NA
0 62
0 54
0 68
0 60
0 63
0 55
0 73
1 72
1 64
0 54
1 56
0 53
0 64
1 52
1 75
1 59
1 54
0 48
0 50
0 54
1 63
0 54
0 52
0 101
0 66
0 64
1 48
0 65
1 69
0 56
1 54
1 66
1 70
1 63
1 54
1 54
1 66
0 51
0 55
0 59
1 62
1 72
1 101
0 73
0 49
1 55
1 61
1 67
0 53
0 73
1 54
1 58
0 52
1 56
0 50
1 57
1 69
1 62
1 48
1 78
0 49
1 51
0 69
1 54
1 54
0 61
1 52
0 55
1 50
0 43
1 51
0 54
1 50
1 52
1 74
0 53
0 53
1 51
