sex cpp.age
1 47
0 47
1 47
1 51
1 58
1 50
1 53
0 63
0 48
0 47
0 62
1 47
1 49
1 49
0 50
1 47
1 52
1 63
1 53
1 48
1 54
1 47
0 55
0 47
1 50
0 58
0 57
0 48
1 48
0 55
0 47
0 51
0 49
1 52
0 47
1 54
1 48
1 57
0 49
1 58
0 57
1 48
1 49
1 50
1 57
0 49
0 51
0 48
0 52
1 50
1 55
1 46
0 48
0 66
1 50
0 52
1 55
0 49
0 49
0 48
0 58
0 53
0 49
1 48
1 52
0 58
1 57
1 49
0 50
0 55
0 54
1 58
0 47
0 49
0 58
0 47
0 49
0 57
1 51
1 57
0 47
1 58
1 47
0 47
1 51
0 49
0 57
1 47
0 55
0 50
0 54
0 49
1 53
0 47
0 51
0 50
0 49
1 47
1 62
1 66
0 52
1 58
0 48
1 50
0 52
1 49
1 47
1 58
0 50
0 47
1 45
1 47
1 55
1 53
1 57
0 57
1 47
1 48
0 46
0 57
0 47
0 53
1 48
1 53
0 54
0 53
0 50
0 47
0 50
0 49
1 54
0 54
0 48
0 55
0 52
1 49
0 61
1 47
0 54
0 53
1 48
0 56
0 53
0 53
0 58
1 71
0 52
1 77
0 63
1 63
1 53
1 53
0 49
0 52
1 43
0 54
0 60
0 75
0 62
1 59
1 53
1 57
0 54
1 51
1 69
0 54
1 75
1 53
1 52
1 74
0 77
1 52
1 58
0 55
0 54
1 52
0 54
1 53
0 56
1 51
0 98
1 105
0 70
1 53
0 77
1 56
0 50
1 55
0 55
0 53
0 54
0 52
0 61
1 53
0 56
1 52
1 52
1 58
1 54
0 50
0 55
1 NA
0 56
1 53
0 61
1 54
0 74
1 53
0 54
0 61
1 56
0 57
0 54
0 53
0 52
0 75
0 73
1 60
1 66
0 53
0 54
0 63
1 53
1 62
0 73
1 52
0 45
0 52
1 54
0 51
0 66
1 56
1 48
0 57
0 98
0 65
0 56
1 57
0 63
1 54
0 67
0 63
0 56
1 56
1 55
1 50
1 52
1 53
1 48
1 54
0 58
0 50
1 47
1 54
1 54
0 53
1 49
0 48
1 49
0 50
1 49
0 54
1 58
1 48
1 48
0 53
1 47
1 53
0 47
0 48
0 47
1 55
0 53
0 58
0 47
1 47
0 57
1 57
1 53
0 58
0 48
0 45
1 50
1 48
1 47
1 49
0 47
1 55
1 50
1 49
0 50
1 52
1 57
0 65
0 73
1 46
1 59
0 61
1 61
0 NA
0 59
0 61
1 63
1 49
0 61
0 54
0 53
0 55
0 63
0 78
1 61
1 53
1 53
0 52
0 62
1 66
1 60
1 61
0 66
1 68
1 52
0 71
1 61
1 49
1 52
0 57
0 62
1 54
0 54
1 52
0 101
1 75
0 53
0 54
1 52
1 51
1 63
1 52
1 56
0 84
1 53
1 101
1 77
1 61
0 54
1 53
0 52
0 68
0 52
1 54
0 54
0 48
0 51
1 64
1 101
1 66
0 48
0 63
0 49
1 55
0 69
0 66
1 58
1 61
1 54
0 52
1 53
0 54
0 92
0 73
0 56
1 49
1 54
1 69
0 52
0 55
1 66
1 54
1 49
1 68
1 53
1 52
0 56
1 51
0 63
1 62
0 53
0 49
0 68
0 54
1 94
0 62
0 52
0 69
1 61
1 53
1 54
1 68
0 54
1 57
0 53
1 52
1 54
0 101
1 66
1 52
1 98
0 67
1 53
1 56
0 53
0 53
1 54
0 55
1 NA
0 55
1 50
1 52
1 52
